"TOA5","8543","CR1000X","8543","CR1000X.Std.05.01","CPU:Est_meteo1.CR1X","5308","Gases"
"TIMESTAMP","RECORD","NO2","SO2","CO","O3","T_air","P_atm_q","H_R"
"TS","RN","ppm","ppm","ppm","ppm","Deg C","mbar","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-15 00:00:00",153528,"0.054","0.028","0.162","0.045","12.0","765.8","71.4"
"2022-01-15 00:01:00",153529,"0.054","0.028","0.161","0.045","12.0","765.7","71.6"
"2022-01-15 00:02:00",153530,"0.054","0.028","0.160","0.045","12.0","765.8","71.9"
"2022-01-15 00:03:00",153531,"0.054","0.028","0.160","0.045","12.0","765.8","72.1"
"2022-01-15 00:04:00",153532,"0.054","0.028","0.160","0.045","12.0","765.8","72.1"
"2022-01-15 00:05:00",153533,"0.054","0.028","0.161","0.045","12.0","765.8","72.2"
"2022-01-15 00:06:00",153534,"0.054","0.028","0.161","0.045","11.9","765.8","72.4"
"2022-01-15 00:07:00",153535,"0.054","0.028","0.161","0.045","11.9","765.8","72.4"
"2022-01-15 00:08:00",153536,"0.053","0.029","0.161","0.045","11.9","765.8","72.5"
"2022-01-15 00:09:00",153537,"0.053","0.029","0.161","0.045","11.9","765.8","72.4"
"2022-01-15 00:10:00",153538,"0.053","0.029","0.157","0.045","11.9","765.8","72.6"
"2022-01-15 00:11:00",153539,"0.053","0.029","0.154","0.045","11.9","765.7","72.6"
"2022-01-15 00:12:00",153540,"0.054","0.029","0.150","0.045","11.9","765.8","72.5"
"2022-01-15 00:13:00",153541,"0.053","0.028","0.147","0.045","11.9","765.8","72.3"
"2022-01-15 00:14:00",153542,"0.053","0.028","0.144","0.045","11.9","765.8","72.1"
"2022-01-15 00:15:00",153543,"0.053","0.028","0.141","0.045","11.9","765.8","72.3"
"2022-01-15 00:16:00",153544,"0.052","0.028","0.139","0.045","11.9","765.9","72.3"
"2022-01-15 00:17:00",153545,"0.052","0.028","0.136","0.045","11.9","765.8","72.3"
"2022-01-15 00:18:00",153546,"0.051","0.028","0.133","0.046","11.9","765.8","72.3"
"2022-01-15 00:19:00",153547,"0.051","0.028","0.131","0.046","11.9","765.8","72.4"
"2022-01-15 00:20:00",153548,"0.051","0.028","0.130","0.046","11.8","765.8","72.4"
"2022-01-15 00:21:00",153549,"0.051","0.028","0.129","0.046","11.9","765.7","72.5"
"2022-01-15 00:22:00",153550,"0.052","0.028","0.128","0.046","11.9","765.8","72.4"
"2022-01-15 00:23:00",153551,"0.052","0.028","0.127","0.046","11.9","765.8","72.4"
"2022-01-15 00:24:00",153552,"0.052","0.028","0.126","0.046","11.8","765.8","72.4"
"2022-01-15 00:25:00",153553,"0.052","0.028","0.124","0.046","11.9","765.8","72.2"
"2022-01-15 00:26:00",153554,"0.052","0.028","0.122","0.046","11.9","765.8","72.0"
"2022-01-15 00:27:00",153555,"0.052","0.028","0.121","0.046","11.9","765.8","71.9"
"2022-01-15 00:28:00",153556,"0.052","0.028","0.119","0.047","11.9","765.8","71.7"
"2022-01-15 00:29:00",153557,"0.052","0.028","0.118","0.046","11.9","765.8","71.6"
"2022-01-15 00:30:00",153558,"0.051","0.028","0.118","0.046","11.9","765.8","71.5"
"2022-01-15 00:31:00",153559,"0.051","0.028","0.118","0.046","11.8","765.7","71.5"
"2022-01-15 00:32:00",153560,"0.051","0.028","0.117","0.046","11.8","765.8","71.7"
"2022-01-15 00:33:00",153561,"0.051","0.028","0.117","0.047","11.9","765.8","71.7"
"2022-01-15 00:34:00",153562,"0.051","0.028","0.117","0.047","11.8","765.8","71.7"
"2022-01-15 00:35:00",153563,"0.050","0.028","0.117","0.047","11.8","765.8","71.9"
"2022-01-15 00:36:00",153564,"0.050","0.028","0.117","0.047","11.8","765.8","71.8"
"2022-01-15 00:37:00",153565,"0.050","0.028","0.117","0.046","11.7","765.8","72.0"
"2022-01-15 00:38:00",153566,"0.050","0.028","0.117","0.046","11.7","765.7","72.3"
"2022-01-15 00:39:00",153567,"0.050","0.028","0.118","0.046","11.7","765.8","72.4"
"2022-01-15 00:40:00",153568,"0.050","0.028","0.118","0.046","11.7","765.8","72.5"
"2022-01-15 00:41:00",153569,"0.050","0.028","0.117","0.046","11.7","765.6","72.5"
"2022-01-15 00:42:00",153570,"0.050","0.028","0.116","0.046","11.7","765.6","72.3"
"2022-01-15 00:43:00",153571,"0.050","0.028","0.116","0.046","11.7","765.7","72.2"
"2022-01-15 00:44:00",153572,"0.049","0.028","0.116","0.046","11.7","765.7","72.3"
"2022-01-15 00:45:00",153573,"0.049","0.028","0.116","0.047","11.7","765.7","72.3"
"2022-01-15 00:46:00",153574,"0.049","0.028","0.115","0.047","11.6","765.7","72.4"
"2022-01-15 00:47:00",153575,"0.049","0.028","0.114","0.047","11.6","765.7","72.5"
"2022-01-15 00:48:00",153576,"0.049","0.028","0.113","0.047","11.6","765.7","72.4"
"2022-01-15 00:49:00",153577,"0.049","0.028","0.113","0.047","11.6","765.7","72.4"
"2022-01-15 00:50:00",153578,"0.048","0.028","0.112","0.047","11.6","765.7","72.6"
"2022-01-15 00:51:00",153579,"0.048","0.027","0.112","0.047","11.7","765.6","72.2"
"2022-01-15 00:52:00",153580,"0.048","0.027","0.112","0.047","11.7","765.7","72.2"
"2022-01-15 00:53:00",153581,"0.048","0.027","0.112","0.047","11.7","765.7","72.0"
"2022-01-15 00:54:00",153582,"0.048","0.028","0.112","0.047","11.6","765.7","72.1"
"2022-01-15 00:55:00",153583,"0.048","0.028","0.113","0.047","11.6","765.7","72.3"
"2022-01-15 00:56:00",153584,"0.048","0.028","0.114","0.047","11.6","765.7","72.2"
"2022-01-15 00:57:00",153585,"0.048","0.028","0.113","0.047","11.6","765.7","72.1"
"2022-01-15 00:58:00",153586,"0.047","0.028","0.114","0.047","11.5","765.7","72.1"
"2022-01-15 00:59:00",153587,"0.047","0.028","0.115","0.047","11.5","765.7","72.2"
"2022-01-15 01:00:00",153588,"0.047","0.028","0.116","0.047","11.5","765.7","72.3"
"2022-01-15 01:01:00",153589,"0.047","0.028","0.116","0.047","11.6","765.5","72.2"
"2022-01-15 01:02:00",153590,"0.046","0.028","0.114","0.047","11.6","765.7","72.0"
"2022-01-15 01:03:00",153591,"0.046","0.028","0.113","0.049","11.5","765.7","71.9"
"2022-01-15 01:04:00",153592,"0.046","0.027","0.112","0.049","11.6","765.7","71.6"
"2022-01-15 01:05:00",153593,"0.046","0.028","0.110","0.050","11.6","765.7","71.4"
"2022-01-15 01:06:00",153594,"0.046","0.028","0.109","0.050","11.5","765.7","71.5"
"2022-01-15 01:07:00",153595,"0.046","0.027","0.107","0.050","11.6","765.7","71.2"
"2022-01-15 01:08:00",153596,"0.045","0.027","0.107","0.050","11.5","765.7","71.4"
"2022-01-15 01:09:00",153597,"0.045","0.027","0.108","0.050","11.5","765.6","70.8"
"2022-01-15 01:10:00",153598,"0.045","0.027","0.108","0.051","11.6","765.6","70.4"
"2022-01-15 01:11:00",153599,"0.044","0.027","0.107","0.051","11.5","765.5","70.3"
"2022-01-15 01:12:00",153600,"0.044","0.027","0.106","0.051","11.5","765.6","70.1"
"2022-01-15 01:13:00",153601,"0.044","0.027","0.106","0.051","11.5","765.5","70.4"
"2022-01-15 01:14:00",153602,"0.044","0.027","0.106","0.052","11.5","765.6","70.4"
"2022-01-15 01:15:00",153603,"0.043","0.027","0.106","0.052","11.6","765.5","69.9"
"2022-01-15 01:16:00",153604,"0.043","0.027","0.105","0.052","11.6","765.5","69.5"
"2022-01-15 01:17:00",153605,"0.042","0.027","0.104","0.053","11.6","765.5","69.2"
"2022-01-15 01:18:00",153606,"0.042","0.027","0.103","0.054","11.6","765.5","68.5"
"2022-01-15 01:19:00",153607,"0.042","0.028","0.105","0.054","11.7","765.5","67.8"
"2022-01-15 01:20:00",153608,"0.042","0.028","0.103","0.054","11.7","765.5","67.1"
"2022-01-15 01:21:00",153609,"0.041","0.028","0.102","0.054","11.6","765.4","66.9"
"2022-01-15 01:22:00",153610,"0.041","0.028","0.102","0.055","11.6","765.5","66.6"
"2022-01-15 01:23:00",153611,"0.040","0.028","0.102","0.054","11.7","765.5","65.8"
"2022-01-15 01:24:00",153612,"0.039","0.028","0.103","0.055","11.6","765.5","65.9"
"2022-01-15 01:25:00",153613,"0.039","0.028","0.104","0.056","11.6","765.5","65.2"
"2022-01-15 01:26:00",153614,"0.038","0.028","0.105","0.056","11.5","765.5","65.0"
"2022-01-15 01:27:00",153615,"0.037","0.028","0.109","0.056","11.7","765.5","64.2"
"2022-01-15 01:28:00",153616,"0.036","0.028","0.110","0.057","11.6","765.5","64.0"
"2022-01-15 01:29:00",153617,"0.035","0.028","0.111","0.058","11.6","765.5","63.4"
"2022-01-15 01:30:00",153618,"0.038","0.028","0.112","0.059","11.7","765.5","62.8"
"2022-01-15 01:31:00",153619,"0.038","0.028","0.111","0.053","11.6","765.3","62.8"
"2022-01-15 01:32:00",153620,"0.037","0.027","0.111","0.052","11.5","765.5","62.7"
"2022-01-15 01:33:00",153621,"0.036","0.027","0.112","0.052","11.5","765.4","62.0"
"2022-01-15 01:34:00",153622,"0.036","0.027","0.113","0.054","11.6","765.5","61.3"
"2022-01-15 01:35:00",153623,"0.035","0.027","0.112","0.054","11.6","765.4","60.9"
"2022-01-15 01:36:00",153624,"0.035","0.027","0.112","0.055","11.5","765.5","61.1"
"2022-01-15 01:37:00",153625,"0.034","0.027","0.112","0.055","11.5","765.4","60.8"
"2022-01-15 01:38:00",153626,"0.033","0.027","0.113","0.055","11.6","765.4","60.2"
"2022-01-15 01:39:00",153627,"0.032","0.028","0.113","0.055","11.6","765.4","59.8"
"2022-01-15 01:40:00",153628,"0.031","0.028","0.113","0.056","11.5","765.4","59.6"
"2022-01-15 01:41:00",153629,"0.031","0.028","0.113","0.057","11.5","765.3","59.5"
"2022-01-15 01:42:00",153630,"0.030","0.028","0.112","0.057","11.5","765.4","59.3"
"2022-01-15 01:43:00",153631,"0.030","0.028","0.112","0.057","11.5","765.4","59.0"
"2022-01-15 01:44:00",153632,"0.030","0.028","0.114","0.057","11.5","765.4","58.9"
"2022-01-15 01:45:00",153633,"0.029","0.028","0.114","0.058","11.4","765.4","58.9"
"2022-01-15 01:46:00",153634,"0.029","0.028","0.115","0.058","11.4","765.4","58.6"
"2022-01-15 01:47:00",153635,"0.028","0.029","0.114","0.058","11.4","765.4","58.4"
"2022-01-15 01:48:00",153636,"0.027","0.029","0.114","0.061","11.5","765.4","57.2"
"2022-01-15 01:49:00",153637,"0.026","0.029","0.114","0.062","11.5","765.4","57.1"
"2022-01-15 01:50:00",153638,"0.026","0.029","0.115","0.063","11.5","765.4","56.7"
"2022-01-15 01:51:00",153639,"0.025","0.029","0.118","0.064","11.6","765.3","55.9"
"2022-01-15 01:52:00",153640,"0.025","0.029","0.118","0.065","11.6","765.4","55.2"
"2022-01-15 01:53:00",153641,"0.024","0.029","0.118","0.066","11.8","765.4","53.5"
"2022-01-15 01:54:00",153642,"0.023","0.029","0.117","0.067","11.7","765.4","53.4"
"2022-01-15 01:55:00",153643,"0.023","0.029","0.117","0.068","11.5","765.3","53.7"
"2022-01-15 01:56:00",153644,"0.023","0.029","0.118","0.068","11.5","765.3","53.7"
"2022-01-15 01:57:00",153645,"0.022","0.029","0.120","0.069","11.7","765.3","53.0"
"2022-01-15 01:58:00",153646,"0.021","0.029","0.123","0.070","11.7","765.3","52.4"
"2022-01-15 01:59:00",153647,"0.020","0.029","0.123","0.072","11.6","765.3","52.1"
"2022-01-15 02:00:00",153648,"0.020","0.029","0.122","0.074","11.6","765.3","51.9"
"2022-01-15 02:01:00",153649,"0.020","0.029","0.122","0.075","11.6","765.1","51.6"
"2022-01-15 02:02:00",153650,"0.023","0.029","0.122","0.076","11.9","765.3","50.2"
"2022-01-15 02:03:00",153651,"0.022","0.029","0.124","0.065","12.0","765.2","49.4"
"2022-01-15 02:04:00",153652,"0.022","0.029","0.122","0.068","11.8","765.2","49.4"
"2022-01-15 02:05:00",153653,"0.022","0.029","0.121","0.069","11.8","765.2","49.4"
"2022-01-15 02:06:00",153654,"0.022","0.029","0.120","0.069","11.9","765.2","48.8"
"2022-01-15 02:07:00",153655,"0.022","0.029","0.118","0.069","11.9","765.2","48.4"
"2022-01-15 02:08:00",153656,"0.022","0.029","0.117","0.070","11.8","765.2","48.5"
"2022-01-15 02:09:00",153657,"0.022","0.029","0.115","0.070","11.9","765.2","48.2"
"2022-01-15 02:10:00",153658,"0.022","0.028","0.114","0.070","11.7","765.1","48.7"
"2022-01-15 02:11:00",153659,"0.022","0.028","0.114","0.069","11.8","765.0","48.5"
"2022-01-15 02:12:00",153660,"0.021","0.028","0.113","0.068","12.1","765.1","47.4"
"2022-01-15 02:13:00",153661,"0.020","0.028","0.110","0.070","12.0","765.1","47.0"
"2022-01-15 02:14:00",153662,"0.020","0.028","0.110","0.072","12.0","765.1","46.7"
"2022-01-15 02:15:00",153663,"0.020","0.028","0.106","0.073","11.8","765.1","47.1"
"2022-01-15 02:16:00",153664,"0.020","0.028","0.107","0.073","12.1","765.0","46.6"
"2022-01-15 02:17:00",153665,"0.020","0.027","0.105","0.075","12.1","765.0","46.2"
"2022-01-15 02:18:00",153666,"0.020","0.027","0.103","0.073","12.1","765.0","45.6"
"2022-01-15 02:19:00",153667,"0.019","0.027","0.100","0.075","12.0","765.0","45.6"
