"TOA5","8543","CR1000X","8543","CR1000X.Std.05.01","CPU:Est_meteo1.CR1X","31786","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2022-05-10 00:00:00",319127,0,18.57,45.2,754.3611
"2022-05-10 00:01:00",319128,0,18.56,45.27,754.359
"2022-05-10 00:02:00",319129,0,18.57,45.48,754.3672
"2022-05-10 00:03:00",319130,0,18.59,45.6,754.3766
"2022-05-10 00:04:00",319131,0,18.61,45.43,754.3702
"2022-05-10 00:05:00",319132,0,18.62,45.42,754.3742
"2022-05-10 00:06:00",319133,0,18.63,45.58,754.3781
"2022-05-10 00:07:00",319134,0,18.63,45.75,754.3756
"2022-05-10 00:08:00",319135,0,18.62,45.81,754.3742
"2022-05-10 00:09:00",319136,0,18.61,45.81,754.3693
"2022-05-10 00:10:00",319137,0,18.59,45.74,754.3582
"2022-05-10 00:11:00",319138,0,18.62,45.62,754.3522
"2022-05-10 00:12:00",319139,0,18.64,45.34,754.3487
"2022-05-10 00:13:00",319140,0,18.67,45.09,754.3375
"2022-05-10 00:14:00",319141,0,18.64,45.64,754.3167
"2022-05-10 00:15:00",319142,0,18.52,46.13,754.3279
"2022-05-10 00:16:00",319143,0,18.41,46.09,754.3383
"2022-05-10 00:17:00",319144,0,18.4,46.01,754.3381
"2022-05-10 00:18:00",319145,0,18.4,46,754.341
"2022-05-10 00:19:00",319146,0,18.42,46.09,754.3404
"2022-05-10 00:20:00",319147,0,18.43,46.35,754.3356
"2022-05-10 00:21:00",319148,0,18.47,46.15,754.3343
"2022-05-10 00:22:00",319149,0,18.47,46.01,754.3406
"2022-05-10 00:23:00",319150,0,18.45,46.31,754.3419
"2022-05-10 00:24:00",319151,0,18.36,46.55,754.3195
"2022-05-10 00:25:00",319152,0,18.33,46.12,754.3058
"2022-05-10 00:26:00",319153,0,18.4,45.22,754.2931
"2022-05-10 00:27:00",319154,0,18.52,44.46,754.2851
"2022-05-10 00:28:00",319155,0,18.6,44.68,754.2631
"2022-05-10 00:29:00",319156,0,18.54,45.04,754.2468
"2022-05-10 00:30:00",319157,0,18.49,45.16,754.2376
"2022-05-10 00:31:00",319158,0,18.42,45.63,754.2278
"2022-05-10 00:32:00",319159,0,18.37,46.13,754.2295
"2022-05-10 00:33:00",319160,0,18.29,46.49,754.2228
"2022-05-10 00:34:00",319161,0,18.24,46.36,754.1936
"2022-05-10 00:35:00",319162,0,18.24,45.81,754.1801
"2022-05-10 00:36:00",319163,0,18.27,45.42,754.1722
"2022-05-10 00:37:00",319164,0,18.33,45.15,754.1598
"2022-05-10 00:38:00",319165,0,18.37,44.99,754.1506
"2022-05-10 00:39:00",319166,0,18.4,45.25,754.132
"2022-05-10 00:40:00",319167,0,18.4,45.24,754.1146
"2022-05-10 00:41:00",319168,0,18.37,45.2,754.1034
"2022-05-10 00:42:00",319169,0,18.36,45.48,754.1011
"2022-05-10 00:43:00",319170,0,18.34,45.65,754.085
"2022-05-10 00:44:00",319171,0,18.29,45.29,754.0605
"2022-05-10 00:45:00",319172,0,18.29,45.07,754.0431
"2022-05-10 00:46:00",319173,0,18.32,45.12,754.031
"2022-05-10 00:47:00",319174,0,18.36,45.48,754.017
"2022-05-10 00:48:00",319175,0,18.36,44.99,754.0066
"2022-05-10 00:49:00",319176,0,18.35,45.01,753.9937
"2022-05-10 00:50:00",319177,0,18.36,45.26,753.9865
"2022-05-10 00:51:00",319178,0,18.35,44.91,753.9788
"2022-05-10 00:52:00",319179,0,18.34,44.88,753.9742
"2022-05-10 00:53:00",319180,0,18.31,45.11,753.9746
"2022-05-10 00:54:00",319181,0,18.28,45.19,753.9606
"2022-05-10 00:55:00",319182,0,18.23,44.99,753.9579
"2022-05-10 00:56:00",319183,0,18.18,45.05,753.9656
"2022-05-10 00:57:00",319184,0,18.18,45.24,753.9651
"2022-05-10 00:58:00",319185,0,18.13,45.8,753.9595
"2022-05-10 00:59:00",319186,0,18.05,45.81,753.9484
"2022-05-10 01:00:00",319187,0,18.04,45.76,753.9332
"2022-05-10 01:01:00",319188,0,18.02,46.12,753.9342
"2022-05-10 01:02:00",319189,0,17.95,46.55,753.9313
"2022-05-10 01:03:00",319190,0,17.92,46.69,753.926
"2022-05-10 01:04:00",319191,0,17.9,46.47,753.9069
"2022-05-10 01:05:00",319192,0,17.9,46.64,753.9038
"2022-05-10 01:06:00",319193,0,17.86,46.59,753.8912
"2022-05-10 01:07:00",319194,0,17.91,46.41,753.8827
"2022-05-10 01:08:00",319195,0,17.93,46.43,753.8754
"2022-05-10 01:09:00",319196,0,17.86,46.64,753.868
"2022-05-10 01:10:00",319197,0,17.82,46.83,753.8734
"2022-05-10 01:11:00",319198,0,17.8,46.78,753.8757
"2022-05-10 01:12:00",319199,0,17.79,46.87,753.8933
"2022-05-10 01:13:00",319200,0,17.82,46.54,753.8971
"2022-05-10 01:14:00",319201,0,17.86,46.45,753.8996
"2022-05-10 01:15:00",319202,0,17.92,46.03,753.9095
"2022-05-10 01:16:00",319203,0,17.95,46.12,753.921
"2022-05-10 01:17:00",319204,0,17.92,45.98,753.9348
"2022-05-10 01:18:00",319205,0,17.89,46.08,753.9481
"2022-05-10 01:19:00",319206,0,17.86,46.39,753.9564
"2022-05-10 01:20:00",319207,0,17.83,46.21,753.9579
"2022-05-10 01:21:00",319208,0,17.83,46.45,753.9597
"2022-05-10 01:22:00",319209,0,17.85,46.59,753.9652
"2022-05-10 01:23:00",319210,0,17.87,46.63,753.9662
"2022-05-10 01:24:00",319211,0,17.87,46.32,753.951
"2022-05-10 01:25:00",319212,0,17.89,46.29,753.9426
"2022-05-10 01:26:00",319213,0,17.89,46.49,753.9355
"2022-05-10 01:27:00",319214,0,17.88,46.4,753.9281
"2022-05-10 01:28:00",319215,0,17.86,46.34,753.9154
"2022-05-10 01:29:00",319216,0,17.85,46.35,753.9064
"2022-05-10 01:30:00",319217,0,17.86,46.21,753.8959
"2022-05-10 01:31:00",319218,0,17.85,46.11,753.891
"2022-05-10 01:32:00",319219,0,17.85,46.22,753.8978
"2022-05-10 01:33:00",319220,0,17.84,46.31,753.9004
"2022-05-10 01:34:00",319221,0,17.82,46.13,753.8923
"2022-05-10 01:35:00",319222,0,17.84,46.09,753.8865
"2022-05-10 01:36:00",319223,0,17.85,46.29,753.8763
"2022-05-10 01:37:00",319224,0,17.83,46.23,753.8681
"2022-05-10 01:38:00",319225,0,17.81,45.78,753.8558
"2022-05-10 01:39:00",319226,0,17.82,45.76,753.8477
"2022-05-10 01:40:00",319227,0,17.82,45.76,753.8392
"2022-05-10 01:41:00",319228,0,17.79,45.65,753.8426
"2022-05-10 01:42:00",319229,0,17.79,45.83,753.8538
"2022-05-10 01:43:00",319230,0,17.82,45.81,753.8553
"2022-05-10 01:44:00",319231,0,17.78,45.57,753.8419
"2022-05-10 01:45:00",319232,0,17.79,45.91,753.8349
"2022-05-10 01:46:00",319233,0,17.8,45.94,753.8172
"2022-05-10 01:47:00",319234,0,17.81,46,753.8016
"2022-05-10 01:48:00",319235,0,17.8,45.96,753.7786
"2022-05-10 01:49:00",319236,0,17.76,46.08,753.7676
"2022-05-10 01:50:00",319237,0,17.71,46.2,753.7631
"2022-05-10 01:51:00",319238,0,17.66,45.93,753.7512
