"TOA5","8543","CR1000X","8543","CR1000X.Std.03.02","CPU:Est_meteo1.CR1X","5308","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2021-08-05 00:00:00",870184,0.015,13.72,87.1,755.3513
"2021-08-05 00:01:00",870185,0,13.83,87.7,755.345
"2021-08-05 00:02:00",870186,0,13.87,87.8,755.3458
"2021-08-05 00:03:00",870187,0,13.84,87.9,755.3621
"2021-08-05 00:04:00",870188,0,13.83,88,755.3704
"2021-08-05 00:05:00",870189,0,13.84,88.3,755.3641
"2021-08-05 00:06:00",870190,0,13.75,88.3,755.3516
"2021-08-05 00:07:00",870191,0,13.68,88.5,755.3432
"2021-08-05 00:08:00",870192,0,13.66,88.8,755.3369
"2021-08-05 00:09:00",870193,0,13.62,88.8,755.314
"2021-08-05 00:10:00",870194,0,13.57,88.8,755.3062
"2021-08-05 00:11:00",870195,0.034,13.57,88.9,755.3117
"2021-08-05 00:12:00",870196,0.069,13.59,89.1,755.3118
"2021-08-05 00:13:00",870197,0.007,13.63,89.5,755.3174
"2021-08-05 00:14:00",870198,0,13.61,89.7,755.3236
"2021-08-05 00:15:00",870199,0,13.64,90.1,755.3343
"2021-08-05 00:16:00",870200,0,13.69,90.5,755.3334
"2021-08-05 00:17:00",870201,0,13.71,90.7,755.3183
"2021-08-05 00:18:00",870202,0,13.71,90.8,755.3155
"2021-08-05 00:19:00",870203,0,13.72,91.1,755.2967
"2021-08-05 00:20:00",870204,0,13.71,91.2,755.2975
"2021-08-05 00:21:00",870205,0,13.71,91.3,755.3037
"2021-08-05 00:22:00",870206,0,13.72,91.5,755.2966
"2021-08-05 00:23:00",870207,0,13.67,91.3,755.2826
"2021-08-05 00:24:00",870208,0,13.64,91.3,755.2877
"2021-08-05 00:25:00",870209,0,13.7,91.4,755.3026
"2021-08-05 00:26:00",870210,0,13.67,91.2,755.3182
"2021-08-05 00:27:00",870211,0,13.7,91.2,755.3317
"2021-08-05 00:28:00",870212,0,13.73,91.1,755.3421
"2021-08-05 00:29:00",870213,0,13.75,91.1,755.3204
"2021-08-05 00:30:00",870214,0,13.73,91.1,755.3155
"2021-08-05 00:31:00",870215,0,13.74,91.2,755.3053
"2021-08-05 00:32:00",870216,0,13.75,91.2,755.3031
"2021-08-05 00:33:00",870217,0,13.69,91,755.3054
"2021-08-05 00:34:00",870218,0,13.71,91.2,755.3078
"2021-08-05 00:35:00",870219,0,13.67,91.2,755.3235
"2021-08-05 00:36:00",870220,0,13.59,91.1,755.3346
"2021-08-05 00:37:00",870221,0,13.53,91,755.3364
"2021-08-05 00:38:00",870222,0,13.56,91.2,755.3358
"2021-08-05 00:39:00",870223,0,13.58,91.1,755.3055
"2021-08-05 00:40:00",870224,0,13.53,90.9,755.299
"2021-08-05 00:41:00",870225,0,13.52,90.9,755.3009
"2021-08-05 00:42:00",870226,0,13.49,90.7,755.3018
"2021-08-05 00:43:00",870227,0,13.49,90.6,755.2908
"2021-08-05 00:44:00",870228,0,13.53,90.7,755.2914
"2021-08-05 00:45:00",870229,0,13.53,90.6,755.3008
"2021-08-05 00:46:00",870230,0,13.55,90.7,755.3088
"2021-08-05 00:47:00",870231,0,13.53,90.7,755.3018
"2021-08-05 00:48:00",870232,0,13.54,90.9,755.3114
"2021-08-05 00:49:00",870233,0,13.59,91,755.2924
"2021-08-05 00:50:00",870234,0,13.56,90.7,755.2874
"2021-08-05 00:51:00",870235,0,13.59,90.6,755.2707
"2021-08-05 00:52:00",870236,0,13.68,90.5,755.2589
"2021-08-05 00:53:00",870237,0,13.76,90.5,755.2638
"2021-08-05 00:54:00",870238,0,13.79,90.5,755.2646
"2021-08-05 00:55:00",870239,0,13.74,90.4,755.2524
"2021-08-05 00:56:00",870240,0,13.68,90.5,755.2409
"2021-08-05 00:57:00",870241,0,13.66,90.5,755.224
"2021-08-05 00:58:00",870242,0,13.66,90.4,755.2196
"2021-08-05 00:59:00",870243,0,13.65,90.4,755.1963
"2021-08-05 01:00:00",870244,0,13.67,90.4,755.1832
"2021-08-05 01:01:00",870245,0,13.65,90.4,755.1865
"2021-08-05 01:02:00",870246,0,13.67,90.4,755.1892
"2021-08-05 01:03:00",870247,0,13.77,90.6,755.2021
"2021-08-05 01:04:00",870248,0,13.76,90.5,755.2132
"2021-08-05 01:05:00",870249,0,13.7,90.4,755.2102
"2021-08-05 01:06:00",870250,0,13.62,90.3,755.2086
"2021-08-05 01:07:00",870251,0,13.62,90.4,755.21
"2021-08-05 01:08:00",870252,0,13.61,90.5,755.2166
"2021-08-05 01:09:00",870253,0,13.58,90.6,755.1944
"2021-08-05 01:10:00",870254,0,13.6,90.8,755.1854
"2021-08-05 01:11:00",870255,0,13.59,90.9,755.191
"2021-08-05 01:12:00",870256,0,13.56,91.1,755.1888
"2021-08-05 01:13:00",870257,0,13.56,91.1,755.1988
"2021-08-05 01:14:00",870258,0,13.57,91.2,755.2018
"2021-08-05 01:15:00",870259,0,13.6,91.4,755.2148
"2021-08-05 01:16:00",870260,0,13.61,91.4,755.2225
"2021-08-05 01:17:00",870261,0,13.61,91.5,755.2324
"2021-08-05 01:18:00",870262,0,13.57,91.5,755.2441
"2021-08-05 01:19:00",870263,0,13.62,91.7,755.2352
"2021-08-05 01:20:00",870264,0,13.65,91.7,755.2284
"2021-08-05 01:21:00",870265,0,13.65,91.7,755.2238
"2021-08-05 01:22:00",870266,0,13.65,91.7,755.213
"2021-08-05 01:23:00",870267,0,13.67,91.7,755.2093
"2021-08-05 01:24:00",870268,0,13.67,91.6,755.207
"2021-08-05 01:25:00",870269,0,13.64,91.5,755.2092
"2021-08-05 01:26:00",870270,0,13.72,91.7,755.2049
"2021-08-05 01:27:00",870271,0,13.76,91.7,755.1938
"2021-08-05 01:28:00",870272,0,13.8,91.7,755.19
"2021-08-05 01:29:00",870273,0,13.74,91.6,755.1613
"2021-08-05 01:30:00",870274,0,13.59,91.3,755.1485
"2021-08-05 01:31:00",870275,0,13.59,91.4,755.1451
"2021-08-05 01:32:00",870276,0,13.63,91.5,755.1428
"2021-08-05 01:33:00",870277,0.011,13.65,91.5,755.1363
"2021-08-05 01:34:00",870278,0,13.69,91.5,755.1348
"2021-08-05 01:35:00",870279,0,13.73,91.7,755.1237
"2021-08-05 01:36:00",870280,0,13.69,91.5,755.1164
"2021-08-05 01:37:00",870281,0,13.7,91.8,755.1082
"2021-08-05 01:38:00",870282,0,13.74,92,755.1043
"2021-08-05 01:39:00",870283,0,13.71,92.1,755.0709
"2021-08-05 01:40:00",870284,0,13.67,92.1,755.0504
"2021-08-05 01:41:00",870285,0,13.64,92.2,755.0295
"2021-08-05 01:42:00",870286,0,13.61,92.2,755.014
"2021-08-05 01:43:00",870287,0,13.64,92.4,755.0022
"2021-08-05 01:44:00",870288,0,13.7,92.5,754.988
"2021-08-05 01:45:00",870289,0,13.64,92.4,754.971
"2021-08-05 01:46:00",870290,0,13.65,92.5,754.9518
"2021-08-05 01:47:00",870291,0,13.65,92.6,754.9295
"2021-08-05 01:48:00",870292,0,13.66,92.7,754.918
"2021-08-05 01:49:00",870293,0,13.66,92.7,754.8788
"2021-08-05 01:50:00",870294,0,13.67,92.7,754.8564
"2021-08-05 01:51:00",870295,0,13.72,92.8,754.8472
