"TOA5","8543","CR1000X","8543","CR1000X.Std.05.01","CPU:Est_meteo1.CR1X","5308","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2021-12-06 00:00:00",95928,0,14.09,57.88,754.7117
"2021-12-06 00:01:00",95929,0,14.03,58.07,754.7138
"2021-12-06 00:02:00",95930,0,14.05,57.95,754.7185
"2021-12-06 00:03:00",95931,0,14.09,57.86,754.7203
"2021-12-06 00:04:00",95932,0,14.06,57.93,754.7209
"2021-12-06 00:05:00",95933,0,14.03,58.01,754.7234
"2021-12-06 00:06:00",95934,0,14,58.1,754.7215
"2021-12-06 00:07:00",95935,0,13.98,58.22,754.7252
"2021-12-06 00:08:00",95936,0,14,58.11,754.7198
"2021-12-06 00:09:00",95937,0,14,58.08,754.7288
"2021-12-06 00:10:00",95938,0,13.98,58.14,754.7186
"2021-12-06 00:11:00",95939,0,13.97,58.17,754.7154
"2021-12-06 00:12:00",95940,0,13.98,58.1,754.7202
"2021-12-06 00:13:00",95941,0,14.02,57.97,754.7195
"2021-12-06 00:14:00",95942,0,13.99,58.05,754.7287
"2021-12-06 00:15:00",95943,0,13.96,58.21,754.7312
"2021-12-06 00:16:00",95944,0,13.94,58.3,754.74
"2021-12-06 00:17:00",95945,0,13.92,58.42,754.7535
"2021-12-06 00:18:00",95946,0,13.9,58.53,754.7665
"2021-12-06 00:19:00",95947,0,13.87,58.66,754.7914
"2021-12-06 00:20:00",95948,0,13.83,58.73,754.7953
"2021-12-06 00:21:00",95949,0,13.77,58.99,754.8014
"2021-12-06 00:22:00",95950,0,13.72,59.24,754.804
"2021-12-06 00:23:00",95951,0,13.68,59.41,754.8092
"2021-12-06 00:24:00",95952,0,13.66,59.51,754.8145
"2021-12-06 00:25:00",95953,0,13.63,59.55,754.8198
"2021-12-06 00:26:00",95954,0,13.62,59.51,754.8195
"2021-12-06 00:27:00",95955,0,13.63,59.48,754.8215
"2021-12-06 00:28:00",95956,0,13.65,59.48,754.8203
"2021-12-06 00:29:00",95957,0,13.63,59.5,754.8274
"2021-12-06 00:30:00",95958,0,13.59,59.6,754.8074
"2021-12-06 00:31:00",95959,0,13.56,59.64,754.7968
"2021-12-06 00:32:00",95960,0,13.55,59.58,754.7834
"2021-12-06 00:33:00",95961,0,13.56,59.51,754.7738
"2021-12-06 00:34:00",95962,0,13.55,59.46,754.765
"2021-12-06 00:35:00",95963,0,13.54,59.46,754.7662
"2021-12-06 00:36:00",95964,0,13.53,59.55,754.771
"2021-12-06 00:37:00",95965,0,13.5,59.7,754.7786
"2021-12-06 00:38:00",95966,0,13.49,59.75,754.7942
"2021-12-06 00:39:00",95967,0,13.49,59.85,754.8095
"2021-12-06 00:40:00",95968,0,13.44,59.93,754.807
"2021-12-06 00:41:00",95969,0,13.41,60.01,754.8131
"2021-12-06 00:42:00",95970,0,13.4,60.06,754.8177
"2021-12-06 00:43:00",95971,0,13.38,60.04,754.8235
"2021-12-06 00:44:00",95972,0,13.38,60.07,754.8206
"2021-12-06 00:45:00",95973,0,13.36,60.08,754.8194
"2021-12-06 00:46:00",95974,0,13.33,60.14,754.8163
"2021-12-06 00:47:00",95975,0,13.29,60.24,754.8149
"2021-12-06 00:48:00",95976,0,13.25,60.36,754.8179
"2021-12-06 00:49:00",95977,0,13.23,60.41,754.8078
"2021-12-06 00:50:00",95978,0,13.2,60.5,754.7995
"2021-12-06 00:51:00",95979,0,13.18,60.59,754.7931
"2021-12-06 00:52:00",95980,0,13.15,60.65,754.7953
"2021-12-06 00:53:00",95981,0,13.09,60.79,754.7994
"2021-12-06 00:54:00",95982,0,13.05,60.77,754.7988
"2021-12-06 00:55:00",95983,0,13.08,60.45,754.7988
"2021-12-06 00:56:00",95984,0,13.14,60.12,754.8032
"2021-12-06 00:57:00",95985,0,13.15,60.13,754.8099
"2021-12-06 00:58:00",95986,0,13.11,60.3,754.8226
"2021-12-06 00:59:00",95987,0,13.09,60.46,754.8416
"2021-12-06 01:00:00",95988,0,13.05,60.57,754.8337
"2021-12-06 01:01:00",95989,0,13,60.72,754.835
"2021-12-06 01:02:00",95990,0,12.97,60.77,754.8361
"2021-12-06 01:03:00",95991,0,12.97,60.75,754.8314
"2021-12-06 01:04:00",95992,0,12.98,60.76,754.8334
"2021-12-06 01:05:00",95993,0,12.97,60.79,754.841
"2021-12-06 01:06:00",95994,0,12.96,60.79,754.8424
"2021-12-06 01:07:00",95995,0,13,60.56,754.8454
"2021-12-06 01:08:00",95996,0,13,60.53,754.848
"2021-12-06 01:09:00",95997,0,13.01,60.48,754.8601
"2021-12-06 01:10:00",95998,0,12.95,60.54,754.853
"2021-12-06 01:11:00",95999,0,12.92,60.6,754.8458
"2021-12-06 01:12:00",96000,0,12.92,60.6,754.8455
"2021-12-06 01:13:00",96001,0,12.9,60.65,754.8469
"2021-12-06 01:14:00",96002,0,12.89,60.71,754.8544
"2021-12-06 01:15:00",96003,0,12.87,60.8,754.8566
"2021-12-06 01:16:00",96004,0,12.86,60.88,754.8673
"2021-12-06 01:17:00",96005,0,12.85,60.94,754.8713
"2021-12-06 01:18:00",96006,0,12.86,60.98,754.8802
"2021-12-06 01:19:00",96007,0,12.86,60.98,754.9038
"2021-12-06 01:20:00",96008,0,12.8,61.07,754.8974
"2021-12-06 01:21:00",96009,0,12.77,61.22,754.9018
"2021-12-06 01:22:00",96010,0,12.74,61.41,754.9083
"2021-12-06 01:23:00",96011,0,12.75,61.51,754.9156
"2021-12-06 01:24:00",96012,0,12.78,61.52,754.9208
"2021-12-06 01:25:00",96013,0,12.74,61.52,754.9172
"2021-12-06 01:26:00",96014,0,12.71,61.63,754.9117
"2021-12-06 01:27:00",96015,0,12.67,61.7,754.9099
"2021-12-06 01:28:00",96016,0,12.67,61.75,754.9162
"2021-12-06 01:29:00",96017,0,12.68,61.77,754.9314
"2021-12-06 01:30:00",96018,0,12.6,61.92,754.9202
"2021-12-06 01:31:00",96019,0,12.52,62.12,754.9134
"2021-12-06 01:32:00",96020,0,12.47,62.38,754.9153
"2021-12-06 01:33:00",96021,0,12.53,62.3,754.917
"2021-12-06 01:34:00",96022,0,12.57,62.21,754.9122
"2021-12-06 01:35:00",96023,0,12.59,62.12,754.9068
"2021-12-06 01:36:00",96024,0,12.61,61.93,754.9021
"2021-12-06 01:37:00",96025,0,12.64,61.9,754.886
"2021-12-06 01:38:00",96026,0,12.67,61.84,754.874
"2021-12-06 01:39:00",96027,0,12.67,61.81,754.8781
"2021-12-06 01:40:00",96028,0,12.63,61.84,754.8616
"2021-12-06 01:41:00",96029,0,12.56,61.97,754.8541
"2021-12-06 01:42:00",96030,0,12.56,62.18,754.8485
"2021-12-06 01:43:00",96031,0,12.59,62.2,754.8466
"2021-12-06 01:44:00",96032,0,12.61,62.11,754.8414
"2021-12-06 01:45:00",96033,0,12.64,62.1,754.839
"2021-12-06 01:46:00",96034,0,12.66,62.06,754.8318
"2021-12-06 01:47:00",96035,0,12.67,61.94,754.8261
"2021-12-06 01:48:00",96036,0,12.71,61.79,754.8172
"2021-12-06 01:49:00",96037,0,12.73,61.55,754.8181
"2021-12-06 01:50:00",96038,0,12.75,61.54,754.7883
"2021-12-06 01:51:00",96039,0,12.81,61.36,754.7736
