"TOA5","8543","CR1000X","8543","CR1000X.Std.05.01","CPU:Est_meteo1.CR1X","31786","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2022-02-10 00:00:00",190967,0,10.84,45.2,751.1523
"2022-02-10 00:01:00",190968,0,10.84,45.23,751.1487
"2022-02-10 00:02:00",190969,0,10.84,45.27,751.1448
"2022-02-10 00:03:00",190970,0,10.81,45.41,751.1346
"2022-02-10 00:04:00",190971,0,10.78,45.39,751.1181
"2022-02-10 00:05:00",190972,0,10.76,45.5,751.1139
"2022-02-10 00:06:00",190973,0,10.72,45.65,751.1129
"2022-02-10 00:07:00",190974,0,10.66,45.83,751.1168
"2022-02-10 00:08:00",190975,0,10.59,45.98,751.1115
"2022-02-10 00:09:00",190976,0,10.56,46.02,751.1102
"2022-02-10 00:10:00",190977,0,10.57,46.2,751.1037
"2022-02-10 00:11:00",190978,0,10.58,46.15,751.0931
"2022-02-10 00:12:00",190979,0,10.6,46.19,751.0938
"2022-02-10 00:13:00",190980,0,10.56,46.22,751.0812
"2022-02-10 00:14:00",190981,0,10.52,46.35,751.0641
"2022-02-10 00:15:00",190982,0,10.49,46.39,751.0546
"2022-02-10 00:16:00",190983,0,10.47,46.57,751.0541
"2022-02-10 00:17:00",190984,0,10.45,46.46,751.0504
"2022-02-10 00:18:00",190985,0,10.43,46.52,751.0544
"2022-02-10 00:19:00",190986,0,10.43,46.54,751.0504
"2022-02-10 00:20:00",190987,0,10.44,46.5,751.0539
"2022-02-10 00:21:00",190988,0,10.45,46.56,751.06
"2022-02-10 00:22:00",190989,0,10.5,46.6,751.07
"2022-02-10 00:23:00",190990,0,10.57,46.5,751.0646
"2022-02-10 00:24:00",190991,0,10.58,46.46,751.0566
"2022-02-10 00:25:00",190992,0,10.56,46.52,751.0545
"2022-02-10 00:26:00",190993,0,10.54,46.61,751.0486
"2022-02-10 00:27:00",190994,0,10.54,46.7,751.0452
"2022-02-10 00:28:00",190995,0,10.55,46.57,751.0495
"2022-02-10 00:29:00",190996,0,10.6,46.39,751.0409
"2022-02-10 00:30:00",190997,0,10.58,46.3,751.0308
"2022-02-10 00:31:00",190998,0,10.54,46.35,751.0195
"2022-02-10 00:32:00",190999,0,10.48,46.55,751.0171
"2022-02-10 00:33:00",191000,0,10.43,46.68,750.9993
"2022-02-10 00:34:00",191001,0,10.42,46.67,750.978
"2022-02-10 00:35:00",191002,0,10.38,46.68,750.9557
"2022-02-10 00:36:00",191003,0,10.36,46.69,750.9475
"2022-02-10 00:37:00",191004,0,10.32,46.81,750.9368
"2022-02-10 00:38:00",191005,0,10.34,46.92,750.9198
"2022-02-10 00:39:00",191006,0,10.47,46.55,750.9035
"2022-02-10 00:40:00",191007,0,10.49,46.35,750.8903
"2022-02-10 00:41:00",191008,0,10.44,46.34,750.8856
"2022-02-10 00:42:00",191009,0,10.41,46.57,750.8814
"2022-02-10 00:43:00",191010,0,10.42,46.51,750.8592
"2022-02-10 00:44:00",191011,0,10.39,46.6,750.8385
"2022-02-10 00:45:00",191012,0,10.37,46.79,750.827
"2022-02-10 00:46:00",191013,0,10.34,46.95,750.8095
"2022-02-10 00:47:00",191014,0,10.34,46.98,750.7957
"2022-02-10 00:48:00",191015,0,10.35,46.99,750.7858
"2022-02-10 00:49:00",191016,0,10.36,46.99,750.7742
"2022-02-10 00:50:00",191017,0,10.36,46.94,750.7548
"2022-02-10 00:51:00",191018,0,10.39,46.82,750.7364
"2022-02-10 00:52:00",191019,0,10.39,46.84,750.7308
"2022-02-10 00:53:00",191020,0,10.35,47,750.7125
"2022-02-10 00:54:00",191021,0,10.35,47.07,750.6817
"2022-02-10 00:55:00",191022,0,10.29,47.04,750.6642
"2022-02-10 00:56:00",191023,0,10.28,47.06,750.6508
"2022-02-10 00:57:00",191024,0,10.36,46.75,750.6395
"2022-02-10 00:58:00",191025,0,10.39,46.65,750.6391
"2022-02-10 00:59:00",191026,0,10.39,46.6,750.6375
"2022-02-10 01:00:00",191027,0,10.35,46.81,750.6371
"2022-02-10 01:01:00",191028,0,10.3,46.91,750.6446
"2022-02-10 01:02:00",191029,0,10.3,46.89,750.6519
"2022-02-10 01:03:00",191030,0,10.29,47.08,750.6536
"2022-02-10 01:04:00",191031,0,10.27,47.03,750.6427
"2022-02-10 01:05:00",191032,0,10.28,47.03,750.6407
"2022-02-10 01:06:00",191033,0,10.28,47.08,750.6398
"2022-02-10 01:07:00",191034,0,10.24,47.24,750.6374
"2022-02-10 01:08:00",191035,0,10.23,47.38,750.634
"2022-02-10 01:09:00",191036,0,10.24,47.44,750.6182
"2022-02-10 01:10:00",191037,0,10.22,47.45,750.6122
"2022-02-10 01:11:00",191038,0,10.16,47.59,750.5993
"2022-02-10 01:12:00",191039,0,10.11,47.84,750.5934
"2022-02-10 01:13:00",191040,0,10.1,47.98,750.5795
"2022-02-10 01:14:00",191041,0,10.06,48.12,750.5602
"2022-02-10 01:15:00",191042,0,10.03,48.19,750.55
"2022-02-10 01:16:00",191043,0,10,48.29,750.5446
"2022-02-10 01:17:00",191044,0,10,48.3,750.5362
"2022-02-10 01:18:00",191045,0,9.98,48.3,750.5377
"2022-02-10 01:19:00",191046,0,9.96,48.36,750.536
"2022-02-10 01:20:00",191047,0,9.95,48.48,750.5266
"2022-02-10 01:21:00",191048,0,9.95,48.61,750.5257
"2022-02-10 01:22:00",191049,0,9.95,48.53,750.5285
"2022-02-10 01:23:00",191050,0,9.92,48.54,750.5224
"2022-02-10 01:24:00",191051,0,9.92,48.61,750.5062
"2022-02-10 01:25:00",191052,0,9.92,48.6,750.4962
"2022-02-10 01:26:00",191053,0,9.92,48.73,750.4782
"2022-02-10 01:27:00",191054,0,9.92,48.69,750.4698
"2022-02-10 01:28:00",191055,0,9.91,48.75,750.4568
"2022-02-10 01:29:00",191056,0,9.9,48.8,750.4527
"2022-02-10 01:30:00",191057,0,9.91,48.91,750.4552
"2022-02-10 01:31:00",191058,0,9.93,48.85,750.4574
"2022-02-10 01:32:00",191059,0,9.92,48.78,750.4717
"2022-02-10 01:33:00",191060,0,9.9,48.75,750.4729
"2022-02-10 01:34:00",191061,0,9.89,48.74,750.4713
"2022-02-10 01:35:00",191062,0,9.87,48.66,750.476
"2022-02-10 01:36:00",191063,0,9.89,48.58,750.4686
"2022-02-10 01:37:00",191064,0,9.93,48.57,750.4615
"2022-02-10 01:38:00",191065,0,9.99,48.5,750.4592
"2022-02-10 01:39:00",191066,0,9.94,48.46,750.4542
"2022-02-10 01:40:00",191067,0,9.89,48.34,750.4514
"2022-02-10 01:41:00",191068,0,9.91,48.39,750.4334
"2022-02-10 01:42:00",191069,0,10.01,48.28,750.4266
"2022-02-10 01:43:00",191070,0,10.06,48.22,750.4096
"2022-02-10 01:44:00",191071,0,10.08,48.13,750.383
"2022-02-10 01:45:00",191072,0,10.11,48.17,750.3734
"2022-02-10 01:46:00",191073,0,10.1,48.06,750.3588
"2022-02-10 01:47:00",191074,0,10.07,48.02,750.3536
"2022-02-10 01:48:00",191075,0,10.03,47.96,750.3417
"2022-02-10 01:49:00",191076,0,9.99,48.06,750.3291
"2022-02-10 01:50:00",191077,0,9.96,47.94,750.3266
"2022-02-10 01:51:00",191078,0,9.92,47.76,750.3114
