"TOA5","8543","CR1000X","8543","CR1000X.Std.03.02","CPU:Est_meteo1.CR1X","5308","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2021-07-18 00:00:00",844264,0,14.01,74.73,756.0622
"2021-07-18 00:01:00",844265,0,14,74.77,756.0491
"2021-07-18 00:02:00",844266,0,14,74.93,756.037
"2021-07-18 00:03:00",844267,0,14,74.93,756.0196
"2021-07-18 00:04:00",844268,0,14.02,74.93,756.0047
"2021-07-18 00:05:00",844269,0,14.02,74.63,755.9972
"2021-07-18 00:06:00",844270,0,14.02,74.61,756.0061
"2021-07-18 00:07:00",844271,0,14.04,74.67,756.0166
"2021-07-18 00:08:00",844272,0,14.03,74.64,756.0374
"2021-07-18 00:09:00",844273,0,13.98,74.87,756.0238
"2021-07-18 00:10:00",844274,0,13.92,74.86,756.0244
"2021-07-18 00:11:00",844275,0,13.93,75.13,756.0208
"2021-07-18 00:12:00",844276,0,13.93,74.99,756.0121
"2021-07-18 00:13:00",844277,0,13.92,75.07,756.003
"2021-07-18 00:14:00",844278,0,13.92,75.21,755.9965
"2021-07-18 00:15:00",844279,0,13.93,75.21,755.989
"2021-07-18 00:16:00",844280,0,13.94,75.22,755.9838
"2021-07-18 00:17:00",844281,0,13.95,75.17,755.9798
"2021-07-18 00:18:00",844282,0,13.96,75.16,755.9772
"2021-07-18 00:19:00",844283,0,13.94,75.08,755.9494
"2021-07-18 00:20:00",844284,0,13.95,75.04,755.9454
"2021-07-18 00:21:00",844285,0,13.94,75.09,755.9486
"2021-07-18 00:22:00",844286,0,13.95,75,755.9518
"2021-07-18 00:23:00",844287,0,13.97,74.96,755.95
"2021-07-18 00:24:00",844288,0,13.99,74.96,755.9494
"2021-07-18 00:25:00",844289,0,14,75.01,755.9381
"2021-07-18 00:26:00",844290,0,14.03,74.93,755.9268
"2021-07-18 00:27:00",844291,0,14.05,74.91,755.9206
"2021-07-18 00:28:00",844292,0,14.08,74.71,755.9182
"2021-07-18 00:29:00",844293,0,14.05,74.76,755.903
"2021-07-18 00:30:00",844294,0,14.05,74.85,755.9088
"2021-07-18 00:31:00",844295,0,14.03,74.83,755.9178
"2021-07-18 00:32:00",844296,0,14.01,74.92,755.933
"2021-07-18 00:33:00",844297,0,13.98,74.94,755.9456
"2021-07-18 00:34:00",844298,0,13.95,75,755.9533
"2021-07-18 00:35:00",844299,0,13.92,74.92,755.9491
"2021-07-18 00:36:00",844300,0,13.91,74.81,755.9369
"2021-07-18 00:37:00",844301,0,13.91,74.85,755.9186
"2021-07-18 00:38:00",844302,0,13.93,74.79,755.9175
"2021-07-18 00:39:00",844303,0,13.92,74.71,755.8947
"2021-07-18 00:40:00",844304,0,13.93,74.86,755.9018
"2021-07-18 00:41:00",844305,0,13.92,74.79,755.9158
"2021-07-18 00:42:00",844306,0,13.91,74.8,755.9343
"2021-07-18 00:43:00",844307,0,13.91,74.88,755.9531
"2021-07-18 00:44:00",844308,0,13.91,74.99,755.9802
"2021-07-18 00:45:00",844309,0,13.92,75.04,755.9965
"2021-07-18 00:46:00",844310,0,13.9,74.95,756.0026
"2021-07-18 00:47:00",844311,0,13.9,75.02,756.0143
"2021-07-18 00:48:00",844312,0,13.85,74.76,756.0326
"2021-07-18 00:49:00",844313,0,13.82,74.76,756.0273
"2021-07-18 00:50:00",844314,0,13.82,74.67,756.0251
"2021-07-18 00:51:00",844315,0,13.79,74.61,756.0229
"2021-07-18 00:52:00",844316,0,13.77,74.6,756.0159
"2021-07-18 00:53:00",844317,0,13.75,74.6,756.0102
"2021-07-18 00:54:00",844318,0,13.76,74.61,755.9919
"2021-07-18 00:55:00",844319,0,13.74,74.53,755.9666
"2021-07-18 00:56:00",844320,0,13.75,74.51,755.9434
"2021-07-18 00:57:00",844321,0,13.76,74.53,755.9348
"2021-07-18 00:58:00",844322,0,13.74,74.5,755.9389
"2021-07-18 00:59:00",844323,0,13.69,74.51,755.9238
"2021-07-18 01:00:00",844324,0,13.71,74.57,755.9283
"2021-07-18 01:01:00",844325,0,13.72,74.54,755.9289
"2021-07-18 01:02:00",844326,0,13.69,74.35,755.9141
"2021-07-18 01:03:00",844327,0,13.67,74.43,755.9022
"2021-07-18 01:04:00",844328,0,13.63,74.49,755.8922
"2021-07-18 01:05:00",844329,0,13.61,74.62,755.8844
"2021-07-18 01:06:00",844330,0,13.6,74.65,755.8698
"2021-07-18 01:07:00",844331,0,13.61,74.7,755.8678
"2021-07-18 01:08:00",844332,0,13.66,74.73,755.8878
"2021-07-18 01:09:00",844333,0,13.64,74.58,755.8682
"2021-07-18 01:10:00",844334,0,13.64,74.63,755.8636
"2021-07-18 01:11:00",844335,0,13.68,74.66,755.8619
"2021-07-18 01:12:00",844336,0,13.64,74.4,755.8498
"2021-07-18 01:13:00",844337,0,13.63,74.46,755.8358
"2021-07-18 01:14:00",844338,0,13.64,74.52,755.8216
"2021-07-18 01:15:00",844339,0,13.62,74.37,755.8172
"2021-07-18 01:16:00",844340,0,13.58,74.43,755.8008
"2021-07-18 01:17:00",844341,0,13.51,74.51,755.7882
"2021-07-18 01:18:00",844342,0,13.47,74.7,755.7672
"2021-07-18 01:19:00",844343,0,13.44,74.73,755.7199
"2021-07-18 01:20:00",844344,0,13.39,74.71,755.6835
"2021-07-18 01:21:00",844345,0,13.36,74.81,755.6644
"2021-07-18 01:22:00",844346,0,13.35,74.92,755.6472
"2021-07-18 01:23:00",844347,0,13.36,74.85,755.6322
"2021-07-18 01:24:00",844348,0,13.32,74.73,755.6228
"2021-07-18 01:25:00",844349,0,13.3,74.8,755.617
"2021-07-18 01:26:00",844350,0,13.29,74.88,755.6013
"2021-07-18 01:27:00",844351,0,13.28,74.96,755.5917
"2021-07-18 01:28:00",844352,0,13.31,75.03,755.5815
"2021-07-18 01:29:00",844353,0,13.28,74.96,755.5451
"2021-07-18 01:30:00",844354,0,13.29,74.97,755.5302
"2021-07-18 01:31:00",844355,0,13.26,74.97,755.5282
"2021-07-18 01:32:00",844356,0,13.27,75.03,755.5265
"2021-07-18 01:33:00",844357,0,13.3,75.02,755.5338
"2021-07-18 01:34:00",844358,0,13.3,74.85,755.5518
"2021-07-18 01:35:00",844359,0,13.3,74.81,755.5652
"2021-07-18 01:36:00",844360,0,13.32,74.76,755.5768
"2021-07-18 01:37:00",844361,0,13.34,74.74,755.5773
"2021-07-18 01:38:00",844362,0,13.34,74.59,755.5916
"2021-07-18 01:39:00",844363,0,13.3,74.64,755.5738
"2021-07-18 01:40:00",844364,0,13.31,74.74,755.5856
"2021-07-18 01:41:00",844365,0,13.29,74.63,755.5997
"2021-07-18 01:42:00",844366,0,13.31,74.76,755.626
"2021-07-18 01:43:00",844367,0,13.32,74.79,755.6436
"2021-07-18 01:44:00",844368,0,13.3,74.68,755.6513
"2021-07-18 01:45:00",844369,0,13.29,74.82,755.6574
"2021-07-18 01:46:00",844370,0,13.3,74.89,755.6406
"2021-07-18 01:47:00",844371,0,13.32,74.85,755.622
"2021-07-18 01:48:00",844372,0,13.34,74.75,755.6139
"2021-07-18 01:49:00",844373,0,13.34,74.8,755.569
"2021-07-18 01:50:00",844374,0,13.37,74.69,755.5326
"2021-07-18 01:51:00",844375,0,13.36,74.59,755.5012
