TOA5,8543,CR1000X,8543.1,CR1000X.Std.03.02,CPU:Est_meteo1.CR1X
2021-06-10 00:00:00,789544.0,0.0,15.29,64.78,755.6338
2021-06-10 00:01:00,789545.0,0.0,15.3,65.29,755.6088
2021-06-10 00:02:00,789546.0,0.0,15.29,65.06,755.5866
2021-06-10 00:03:00,789547.0,0.0,15.28,65.17,755.5702
2021-06-10 00:04:00,789548.0,0.0,15.25,65.01,755.5653
2021-06-10 00:05:00,789549.0,0.0,15.28,65.5,755.5603
2021-06-10 00:06:00,789550.0,0.0,15.31,65.25,755.5499
2021-06-10 00:07:00,789551.0,0.0,15.31,65.02,755.539
2021-06-10 00:08:00,789552.0,0.0,15.34,65.02,755.529
2021-06-10 00:09:00,789553.0,0.0,15.37,64.87,755.5071
2021-06-10 00:10:00,789554.0,0.0,15.31,64.74,755.5022
2021-06-10 00:11:00,789555.0,0.0,15.31,64.6,755.4994
2021-06-10 00:12:00,789556.0,0.0,15.33,64.49,755.5082
2021-06-10 00:13:00,789557.0,0.0,15.3,64.36,755.505
2021-06-10 00:14:00,789558.0,0.0,15.31,63.89,755.5152
2021-06-10 00:15:00,789559.0,0.0,15.37,63.65,755.5102
2021-06-10 00:16:00,789560.0,0.0,15.41,63.11,755.5017
2021-06-10 00:17:00,789561.0,0.0,15.4,63.07,755.5075
2021-06-10 00:18:00,789562.0,0.0,15.39,63.0,755.515
2021-06-10 00:19:00,789563.0,0.0,15.36,63.33,755.5024
2021-06-10 00:20:00,789564.0,0.0,15.36,63.03,755.4875
2021-06-10 00:21:00,789565.0,0.0,15.38,62.86,755.4641
2021-06-10 00:22:00,789566.0,0.0,15.45,63.33,755.4408
2021-06-10 00:23:00,789567.0,0.0,15.5,63.43,755.4191
2021-06-10 00:24:00,789568.0,0.0,15.51,63.56,755.4123
2021-06-10 00:25:00,789569.0,0.0,15.48,63.91,755.419
2021-06-10 00:26:00,789570.0,0.0,15.52,64.49,755.4165
2021-06-10 00:27:00,789571.0,0.0,15.52,64.38,755.409
2021-06-10 00:28:00,789572.0,0.0,15.51,64.67,755.389
2021-06-10 00:29:00,789573.0,0.0,15.5,65.1,755.3675
2021-06-10 00:30:00,789574.0,0.0,15.5,65.2,755.3591
2021-06-10 00:31:00,789575.0,0.0,15.46,65.2,755.3466
2021-06-10 00:32:00,789576.0,0.0,15.46,65.86,755.337
2021-06-10 00:33:00,789577.0,0.0,15.41,65.82,755.319
2021-06-10 00:34:00,789578.0,0.0,15.31,65.87,755.302
2021-06-10 00:35:00,789579.0,0.0,15.29,66.18,755.2882
2021-06-10 00:36:00,789580.0,0.0,15.24,66.53,755.2718
2021-06-10 00:37:00,789581.0,0.0,15.16,66.97,755.2742
2021-06-10 00:38:00,789582.0,0.0,15.09,67.65,755.2815
2021-06-10 00:39:00,789583.0,0.0,14.97,68.23,755.2697
2021-06-10 00:40:00,789584.0,0.0,14.94,68.76,755.2687
2021-06-10 00:41:00,789585.0,0.0,14.89,69.15,755.2582
2021-06-10 00:42:00,789586.0,0.0,14.87,69.48,755.238
2021-06-10 00:43:00,789587.0,0.0,14.82,69.53,755.2262
2021-06-10 00:44:00,789588.0,0.0,14.77,69.4,755.2171
2021-06-10 00:45:00,789589.0,0.0,14.78,69.53,755.2091
2021-06-10 00:46:00,789590.0,0.0,14.75,69.42,755.1935
2021-06-10 00:47:00,789591.0,0.0,14.78,69.64,755.1815
2021-06-10 00:48:00,789592.0,0.0,14.79,69.57,755.1596
2021-06-10 00:49:00,789593.0,0.0,14.78,69.7,755.1211
2021-06-10 00:50:00,789594.0,0.0,14.74,69.75,755.1024
2021-06-10 00:51:00,789595.0,0.0,14.72,69.82,755.0944
2021-06-10 00:52:00,789596.0,0.0,14.73,69.08,755.0856
2021-06-10 00:53:00,789597.0,0.0,14.8,68.83,755.0859
2021-06-10 00:54:00,789598.0,0.0,14.85,68.81,755.0774
2021-06-10 00:55:00,789599.0,0.0,14.87,68.81,755.0634
2021-06-10 00:56:00,789600.0,0.0,14.86,68.76,755.048
2021-06-10 00:57:00,789601.0,0.0,14.87,68.79,755.0405
2021-06-10 00:58:00,789602.0,0.0,14.91,68.65,755.0439
2021-06-10 00:59:00,789603.0,0.0,14.95,69.3,755.0456
