"TOA5","8543","CR1000X","8543","CR1000X.Std.03.02","CPU:Est_meteo1.CR1X","5308","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2021-06-07 00:00:00",785224,0,17.42,53.01,754.2022
"2021-06-07 00:01:00",785225,0,17.41,53.16,754.1999
"2021-06-07 00:02:00",785226,0,17.38,53.19,754.1974
"2021-06-07 00:03:00",785227,0,17.34,53.26,754.1982
"2021-06-07 00:04:00",785228,0,17.3,53.31,754.1914
"2021-06-07 00:05:00",785229,0,17.28,53.33,754.1868
"2021-06-07 00:06:00",785230,0,17.25,53.27,754.1791
"2021-06-07 00:07:00",785231,0,17.24,53.39,754.1679
"2021-06-07 00:08:00",785232,0,17.23,53.72,754.1508
"2021-06-07 00:09:00",785233,0,17.23,53.99,754.126
"2021-06-07 00:10:00",785234,0,17.24,53.98,754.1145
"2021-06-07 00:11:00",785235,0,17.21,53.68,754.1119
"2021-06-07 00:12:00",785236,0,17.17,53.56,754.127
"2021-06-07 00:13:00",785237,0,17.15,53.74,754.1358
"2021-06-07 00:14:00",785238,0,17.17,53.85,754.1437
"2021-06-07 00:15:00",785239,0,17.21,53.6,754.1453
"2021-06-07 00:16:00",785240,0,17.22,53.41,754.1446
"2021-06-07 00:17:00",785241,0,17.25,53.66,754.1437
"2021-06-07 00:18:00",785242,0,17.24,53.45,754.137
"2021-06-07 00:19:00",785243,0,17.2,53.37,754.1231
"2021-06-07 00:20:00",785244,0,17.16,53.69,754.1133
"2021-06-07 00:21:00",785245,0,17.13,54.01,754.105
"2021-06-07 00:22:00",785246,0,17.08,54.35,754.099
"2021-06-07 00:23:00",785247,0,17.03,54.81,754.0985
"2021-06-07 00:24:00",785248,0,16.97,55.25,754.1
"2021-06-07 00:25:00",785249,0,16.92,55.55,754.1049
"2021-06-07 00:26:00",785250,0,16.89,55.67,754.1116
"2021-06-07 00:27:00",785251,0,16.89,55.59,754.1166
"2021-06-07 00:28:00",785252,0,16.91,55.56,754.115
"2021-06-07 00:29:00",785253,0,16.91,55.74,754.0998
"2021-06-07 00:30:00",785254,0,16.9,55.5,754.0928
"2021-06-07 00:31:00",785255,0,16.91,55.73,754.0858
"2021-06-07 00:32:00",785256,0,16.91,55.82,754.0782
"2021-06-07 00:33:00",785257,0,16.89,55.77,754.0661
"2021-06-07 00:34:00",785258,0,16.88,55.93,754.0622
"2021-06-07 00:35:00",785259,0,16.9,56.07,754.0537
"2021-06-07 00:36:00",785260,0,16.9,55.86,754.0435
"2021-06-07 00:37:00",785261,0,16.88,55.9,754.0375
"2021-06-07 00:38:00",785262,0,16.84,56.23,754.0284
"2021-06-07 00:39:00",785263,0,16.8,56.16,754.0074
"2021-06-07 00:40:00",785264,0,16.79,56.39,753.9962
"2021-06-07 00:41:00",785265,0,16.77,56.47,753.9955
"2021-06-07 00:42:00",785266,0,16.76,56.55,753.9894
"2021-06-07 00:43:00",785267,0,16.73,56.66,753.9839
"2021-06-07 00:44:00",785268,0,16.7,56.95,753.9785
"2021-06-07 00:45:00",785269,0,16.67,57.31,753.9642
"2021-06-07 00:46:00",785270,0,16.62,57.56,753.957
"2021-06-07 00:47:00",785271,0,16.62,57.7,753.9466
"2021-06-07 00:48:00",785272,0,16.62,57.78,753.9293
"2021-06-07 00:49:00",785273,0,16.61,57.94,753.9035
"2021-06-07 00:50:00",785274,0,16.63,58.1,753.8865
"2021-06-07 00:51:00",785275,0,16.65,57.96,753.8688
"2021-06-07 00:52:00",785276,0,16.66,57.75,753.8469
"2021-06-07 00:53:00",785277,0,16.66,58.07,753.8274
"2021-06-07 00:54:00",785278,0,16.66,58.11,753.8098
"2021-06-07 00:55:00",785279,0,16.65,58.3,753.8015
"2021-06-07 00:56:00",785280,0,16.66,58.38,753.7941
"2021-06-07 00:57:00",785281,0,16.62,58.43,753.799
"2021-06-07 00:58:00",785282,0,16.59,58.55,753.805
"2021-06-07 00:59:00",785283,0,16.55,58.48,753.7965
"2021-06-07 01:00:00",785284,0,16.55,58.32,753.7988
"2021-06-07 01:01:00",785285,0,16.55,58.48,753.7996
"2021-06-07 01:02:00",785286,0,16.55,58.33,753.7953
"2021-06-07 01:03:00",785287,0,16.56,58.17,753.7868
"2021-06-07 01:04:00",785288,0,16.57,58.22,753.7817
"2021-06-07 01:05:00",785289,0,16.59,58.2,753.7702
"2021-06-07 01:06:00",785290,0,16.59,58.02,753.762
"2021-06-07 01:07:00",785291,0,16.59,58.17,753.7638
"2021-06-07 01:08:00",785292,0,16.58,58.18,753.7665
"2021-06-07 01:09:00",785293,0,16.54,58.27,753.752
"2021-06-07 01:10:00",785294,0,16.54,58.44,753.7506
"2021-06-07 01:11:00",785295,0,16.52,58.45,753.7399
"2021-06-07 01:12:00",785296,0,16.49,58.78,753.7295
"2021-06-07 01:13:00",785297,0,16.44,58.96,753.7126
"2021-06-07 01:14:00",785298,0,16.42,59.16,753.7012
"2021-06-07 01:15:00",785299,0,16.41,59.3,753.693
"2021-06-07 01:16:00",785300,0,16.39,59.49,753.6838
"2021-06-07 01:17:00",785301,0,16.38,59.65,753.6814
"2021-06-07 01:18:00",785302,0,16.36,59.83,753.6772
"2021-06-07 01:19:00",785303,0,16.34,59.95,753.6667
"2021-06-07 01:20:00",785304,0,16.34,60.07,753.6613
"2021-06-07 01:21:00",785305,0,16.35,60.16,753.6562
"2021-06-07 01:22:00",785306,0,16.36,60.2,753.6502
"2021-06-07 01:23:00",785307,0,16.34,60.36,753.6318
"2021-06-07 01:24:00",785308,0,16.34,60.32,753.6159
"2021-06-07 01:25:00",785309,0,16.34,60.34,753.5999
"2021-06-07 01:26:00",785310,0,16.33,60.4,753.5843
"2021-06-07 01:27:00",785311,0,16.34,60.46,753.5833
"2021-06-07 01:28:00",785312,0,16.34,60.36,753.5801
"2021-06-07 01:29:00",785313,0,16.35,60.02,753.5629
"2021-06-07 01:30:00",785314,0,16.38,59.9,753.5663
"2021-06-07 01:31:00",785315,0,16.4,59.95,753.5701
"2021-06-07 01:32:00",785316,0,16.39,60.2,753.565
"2021-06-07 01:33:00",785317,0,16.33,60.38,753.5586
"2021-06-07 01:34:00",785318,0,16.29,60.59,753.5458
"2021-06-07 01:35:00",785319,0,16.27,60.72,753.5286
"2021-06-07 01:36:00",785320,0,16.27,60.75,753.5097
"2021-06-07 01:37:00",785321,0,16.27,60.8,753.5066
"2021-06-07 01:38:00",785322,0,16.27,60.95,753.4926
"2021-06-07 01:39:00",785323,0,16.25,61.06,753.4763
"2021-06-07 01:40:00",785324,0,16.24,61.13,753.4672
"2021-06-07 01:41:00",785325,0,16.24,61.25,753.4578
"2021-06-07 01:42:00",785326,0,16.23,61.3,753.4582
"2021-06-07 01:43:00",785327,0,16.22,61.41,753.4608
"2021-06-07 01:44:00",785328,0,16.24,61.37,753.463
"2021-06-07 01:45:00",785329,0,16.25,61.37,753.4679
"2021-06-07 01:46:00",785330,0,16.23,61.59,753.4632
"2021-06-07 01:47:00",785331,0,16.23,61.7,753.46
"2021-06-07 01:48:00",785332,0,16.22,61.83,753.4538
"2021-06-07 01:49:00",785333,0,16.19,61.96,753.4378
"2021-06-07 01:50:00",785334,0,16.19,62.05,753.4181
"2021-06-07 01:51:00",785335,0,16.19,62.03,753.4064
