"TOA5","8543","CR1000X","8543","CR1000X.Std.05.01","CPU:Est_meteo1.CR1X","31786","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2022-03-17 00:00:00",241367,0,14.64,60.21,753.4324
"2022-03-17 00:01:00",241368,0,14.64,60.25,753.4288
"2022-03-17 00:02:00",241369,0,14.66,60.25,753.4173
"2022-03-17 00:03:00",241370,0,14.66,60.22,753.401
"2022-03-17 00:04:00",241371,0,14.64,60.24,753.389
"2022-03-17 00:05:00",241372,0,14.64,60.38,753.3824
"2022-03-17 00:06:00",241373,0,14.63,60.23,753.3761
"2022-03-17 00:07:00",241374,0,14.63,60.02,753.3574
"2022-03-17 00:08:00",241375,0,14.64,59.94,753.3364
"2022-03-17 00:09:00",241376,0,14.63,59.89,753.3302
"2022-03-17 00:10:00",241377,0,14.65,59.98,753.3297
"2022-03-17 00:11:00",241378,0,14.67,59.98,753.3332
"2022-03-17 00:12:00",241379,0,14.69,60.05,753.3506
"2022-03-17 00:13:00",241380,0,14.69,60.06,753.3516
"2022-03-17 00:14:00",241381,0,14.65,59.92,753.3593
"2022-03-17 00:15:00",241382,0,14.62,60.01,753.3751
"2022-03-17 00:16:00",241383,0,14.63,60.19,753.3978
"2022-03-17 00:17:00",241384,0,14.62,60.18,753.3982
"2022-03-17 00:18:00",241385,0,14.58,60.24,753.3938
"2022-03-17 00:19:00",241386,0,14.49,60.43,753.383
"2022-03-17 00:20:00",241387,0,14.43,60.72,753.3768
"2022-03-17 00:21:00",241388,0,14.38,60.95,753.3666
"2022-03-17 00:22:00",241389,0,14.32,61.1,753.3617
"2022-03-17 00:23:00",241390,0,14.33,61.26,753.3536
"2022-03-17 00:24:00",241391,0,14.31,61.25,753.3341
"2022-03-17 00:25:00",241392,0,14.31,61.18,753.3228
"2022-03-17 00:26:00",241393,0,14.33,61.09,753.3134
"2022-03-17 00:27:00",241394,0,14.36,61.06,753.3039
"2022-03-17 00:28:00",241395,0,14.38,61.04,753.2986
"2022-03-17 00:29:00",241396,0,14.41,60.95,753.291
"2022-03-17 00:30:00",241397,0,14.44,60.67,753.2825
"2022-03-17 00:31:00",241398,0,14.43,60.55,753.2722
"2022-03-17 00:32:00",241399,0,14.46,60.56,753.2802
"2022-03-17 00:33:00",241400,0,14.48,60.58,753.2811
"2022-03-17 00:34:00",241401,0,14.49,60.58,753.2594
"2022-03-17 00:35:00",241402,0,14.49,60.53,753.2594
"2022-03-17 00:36:00",241403,0,14.5,60.62,753.2561
"2022-03-17 00:37:00",241404,0,14.48,60.79,753.2517
"2022-03-17 00:38:00",241405,0,14.46,60.85,753.2492
"2022-03-17 00:39:00",241406,0,14.42,60.86,753.2545
"2022-03-17 00:40:00",241407,0,14.41,60.94,753.2434
"2022-03-17 00:41:00",241408,0,14.39,60.98,753.2408
"2022-03-17 00:42:00",241409,0,14.38,61.15,753.2481
"2022-03-17 00:43:00",241410,0,14.36,61.31,753.2468
"2022-03-17 00:44:00",241411,0,14.32,61.39,753.2372
"2022-03-17 00:45:00",241412,0,14.32,61.52,753.2342
"2022-03-17 00:46:00",241413,0,14.3,61.54,753.2174
"2022-03-17 00:47:00",241414,0,14.28,61.58,753.2102
"2022-03-17 00:48:00",241415,0,14.23,61.85,753.1989
"2022-03-17 00:49:00",241416,0,14.19,62.16,753.1973
"2022-03-17 00:50:00",241417,0,14.15,62.38,753.1891
"2022-03-17 00:51:00",241418,0,14.12,62.47,753.1842
"2022-03-17 00:52:00",241419,0,14.11,62.69,753.1747
"2022-03-17 00:53:00",241420,0,14.1,62.77,753.153
"2022-03-17 00:54:00",241421,0,14.07,62.81,753.1197
"2022-03-17 00:55:00",241422,0,14.07,62.9,753.1037
"2022-03-17 00:56:00",241423,0,14.08,63.07,753.0864
"2022-03-17 00:57:00",241424,0,14.08,63.16,753.0653
"2022-03-17 00:58:00",241425,0,14.06,63.34,753.0452
"2022-03-17 00:59:00",241426,0,14.05,63.61,753.0282
"2022-03-17 01:00:00",241427,0,14.03,63.73,753.0178
"2022-03-17 01:01:00",241428,0,14.01,63.79,753.0098
"2022-03-17 01:02:00",241429,0,13.98,63.93,752.9998
"2022-03-17 01:03:00",241430,0,13.98,64.28,752.9787
"2022-03-17 01:04:00",241431,0,13.99,64.63,752.9545
"2022-03-17 01:05:00",241432,0,13.93,64.48,752.9278
"2022-03-17 01:06:00",241433,0,13.92,64.7,752.9184
"2022-03-17 01:07:00",241434,0,13.9,64.87,752.9133
"2022-03-17 01:08:00",241435,0,13.89,65.36,752.9083
"2022-03-17 01:09:00",241436,0,13.86,65.44,752.8991
"2022-03-17 01:10:00",241437,0,13.83,65.57,752.8937
"2022-03-17 01:11:00",241438,0,13.82,65.79,752.8883
"2022-03-17 01:12:00",241439,0,13.82,65.86,752.8848
"2022-03-17 01:13:00",241440,0,13.75,65.55,752.8652
"2022-03-17 01:14:00",241441,0,13.67,65.49,752.8374
"2022-03-17 01:15:00",241442,0,13.63,65.62,752.8212
"2022-03-17 01:16:00",241443,0,13.61,65.86,752.805
"2022-03-17 01:17:00",241444,0,13.58,66.13,752.7967
"2022-03-17 01:18:00",241445,0,13.57,66.26,752.7948
"2022-03-17 01:19:00",241446,0,13.56,66.28,752.7821
"2022-03-17 01:20:00",241447,0,13.56,66.32,752.7635
"2022-03-17 01:21:00",241448,0,13.56,66.24,752.7476
"2022-03-17 01:22:00",241449,0,13.55,66.36,752.7503
"2022-03-17 01:23:00",241450,0,13.55,66.62,752.7364
"2022-03-17 01:24:00",241451,0,13.55,66.79,752.7268
"2022-03-17 01:25:00",241452,0,13.58,66.98,752.7166
"2022-03-17 01:26:00",241453,0,13.56,66.77,752.7035
"2022-03-17 01:27:00",241454,0,13.55,66.47,752.694
"2022-03-17 01:28:00",241455,0,13.58,66.26,752.6771
"2022-03-17 01:29:00",241456,0,13.61,66.18,752.6665
"2022-03-17 01:30:00",241457,0,13.63,66.06,752.6549
"2022-03-17 01:31:00",241458,0,13.67,66.06,752.6442
"2022-03-17 01:32:00",241459,0,13.7,66.14,752.6359
"2022-03-17 01:33:00",241460,0,13.7,66.08,752.6202
"2022-03-17 01:34:00",241461,0,13.7,66.09,752.597
"2022-03-17 01:35:00",241462,0,13.69,65.86,752.585
"2022-03-17 01:36:00",241463,0,13.68,65.73,752.5844
"2022-03-17 01:37:00",241464,0,13.67,65.77,752.5868
"2022-03-17 01:38:00",241465,0,13.65,65.54,752.5786
"2022-03-17 01:39:00",241466,0,13.63,65,752.5574
"2022-03-17 01:40:00",241467,0,13.64,64.87,752.5567
"2022-03-17 01:41:00",241468,0,13.67,64.94,752.565
"2022-03-17 01:42:00",241469,0,13.68,64.9,752.5601
"2022-03-17 01:43:00",241470,0,13.64,64.92,752.5274
"2022-03-17 01:44:00",241471,0,13.61,64.89,752.4912
"2022-03-17 01:45:00",241472,0,13.62,64.75,752.476
"2022-03-17 01:46:00",241473,0,13.62,64.61,752.4674
"2022-03-17 01:47:00",241474,0,13.61,64.55,752.4534
"2022-03-17 01:48:00",241475,0,13.6,64.4,752.4423
"2022-03-17 01:49:00",241476,0,13.6,64.36,752.433
"2022-03-17 01:50:00",241477,0,13.6,64.46,752.4283
"2022-03-17 01:51:00",241478,0,13.61,64.85,752.431
