TOA5,8543,CR1000X,8543.1,CR1000X.Std.05.01,CPU:Est_meteo1.CR1X
2022-04-10 00:00:00,275927.0,0.0,12.67,70.3,754.1262
2022-04-10 00:01:00,275928.0,0.0,12.65,70.64,754.1227
2022-04-10 00:02:00,275929.0,0.0,12.64,70.97,754.1239
2022-04-10 00:03:00,275930.0,0.0,12.62,70.92,754.117
2022-04-10 00:04:00,275931.0,0.0,12.62,71.16,754.0994
2022-04-10 00:05:00,275932.0,0.0,12.64,71.35,754.0886
2022-04-10 00:06:00,275933.0,0.0,12.63,71.37,754.0681
2022-04-10 00:07:00,275934.0,0.0,12.63,71.21,754.0615
2022-04-10 00:08:00,275935.0,0.0,12.67,71.32,754.0542
2022-04-10 00:09:00,275936.0,0.0,12.66,71.39,754.04
2022-04-10 00:10:00,275937.0,0.0,12.64,71.43,754.0279
2022-04-10 00:11:00,275938.0,0.0,12.62,71.53,754.017
2022-04-10 00:12:00,275939.0,0.0,12.58,71.3,754.0064
2022-04-10 00:13:00,275940.0,0.0,12.57,71.1,753.9848
2022-04-10 00:14:00,275941.0,0.0,12.59,71.25,753.96
2022-04-10 00:15:00,275942.0,0.0,12.59,71.35,753.9619
2022-04-10 00:16:00,275943.0,0.0,12.59,71.11,753.9931
2022-04-10 00:17:00,275944.0,0.0,12.6,71.24,754.0226
2022-04-10 00:18:00,275945.0,0.0,12.59,71.48,754.0633
2022-04-10 00:19:00,275946.0,0.0,12.56,71.43,754.0851
2022-04-10 00:20:00,275947.0,0.0,12.52,71.17,754.0833
2022-04-10 00:21:00,275948.0,0.0,12.49,70.77,754.0532
2022-04-10 00:22:00,275949.0,0.0,12.52,70.73,754.0136
2022-04-10 00:23:00,275950.0,0.0,12.56,71.06,753.9786
2022-04-10 00:24:00,275951.0,0.0,12.6,71.51,753.9654
2022-04-10 00:25:00,275952.0,0.0,12.57,71.47,753.9734
2022-04-10 00:26:00,275953.0,0.0,12.52,71.4,753.9835
2022-04-10 00:27:00,275954.0,0.0,12.51,71.29,753.9906
2022-04-10 00:28:00,275955.0,0.0,12.53,70.74,753.9666
2022-04-10 00:29:00,275956.0,0.0,12.55,70.22,753.9105
2022-04-10 00:30:00,275957.0,0.0,12.58,70.06,753.8618
