"TOA5","8543","CR1000X","8543","CR1000X.Std.05.01","CPU:Est_meteo1.CR1X","31786","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2022-04-03 00:00:00",265847,0,19.28,29.54,753.44
"2022-04-03 00:01:00",265848,0,19.24,29.64,753.4354
"2022-04-03 00:02:00",265849,0,19.22,29.75,753.4368
"2022-04-03 00:03:00",265850,0,19.2,29.85,753.4334
"2022-04-03 00:04:00",265851,0,19.13,29.72,753.4086
"2022-04-03 00:05:00",265852,0,19.15,29.64,753.4071
"2022-04-03 00:06:00",265853,0,19.15,30.04,753.3966
"2022-04-03 00:07:00",265854,0,19.1,30.14,753.4029
"2022-04-03 00:08:00",265855,0,19.08,30.29,753.3998
"2022-04-03 00:09:00",265856,0,19.04,30.2,753.3919
"2022-04-03 00:10:00",265857,0,19.01,30.03,753.3874
"2022-04-03 00:11:00",265858,0,18.99,30.14,753.3807
"2022-04-03 00:12:00",265859,0,18.96,30.22,753.3781
"2022-04-03 00:13:00",265860,0,18.95,30.09,753.3706
"2022-04-03 00:14:00",265861,0,18.97,30.05,753.3546
"2022-04-03 00:15:00",265862,0,18.95,29.94,753.3529
"2022-04-03 00:16:00",265863,0,18.95,29.91,753.3562
"2022-04-03 00:17:00",265864,0,18.92,29.93,753.3534
"2022-04-03 00:18:00",265865,0,18.97,29.39,753.3472
"2022-04-03 00:19:00",265866,0,19.02,29.59,753.3545
"2022-04-03 00:20:00",265867,0,18.95,29.75,753.3486
"2022-04-03 00:21:00",265868,0,18.88,29.74,753.35
"2022-04-03 00:22:00",265869,0,18.8,29.92,753.3613
"2022-04-03 00:23:00",265870,0,18.77,29.93,753.3502
"2022-04-03 00:24:00",265871,0,18.76,29.81,753.3317
"2022-04-03 00:25:00",265872,0,18.76,29.77,753.3214
"2022-04-03 00:26:00",265873,0,18.77,29.78,753.313
"2022-04-03 00:27:00",265874,0,18.77,29.84,753.3042
"2022-04-03 00:28:00",265875,0,18.77,29.73,753.288
"2022-04-03 00:29:00",265876,0,18.8,29.69,753.2728
"2022-04-03 00:30:00",265877,0,18.79,29.73,753.2654
"2022-04-03 00:31:00",265878,0,18.78,29.67,753.2633
"2022-04-03 00:32:00",265879,0,18.79,29.64,753.2648
"2022-04-03 00:33:00",265880,0,18.77,29.71,753.2589
"2022-04-03 00:34:00",265881,0,18.75,29.66,753.2478
"2022-04-03 00:35:00",265882,0,18.77,29.71,753.2449
"2022-04-03 00:36:00",265883,0,18.76,29.75,753.2372
"2022-04-03 00:37:00",265884,0,18.74,29.83,753.2321
"2022-04-03 00:38:00",265885,0,18.69,29.7,753.2218
"2022-04-03 00:39:00",265886,0,18.7,29.73,753.2184
"2022-04-03 00:40:00",265887,0,18.67,29.72,753.2099
"2022-04-03 00:41:00",265888,0,18.65,29.64,753.1965
"2022-04-03 00:42:00",265889,0,18.66,29.68,753.1938
"2022-04-03 00:43:00",265890,0,18.64,29.75,753.1816
"2022-04-03 00:44:00",265891,0,18.62,29.71,753.1585
"2022-04-03 00:45:00",265892,0,18.62,29.74,753.1514
"2022-04-03 00:46:00",265893,0,18.59,29.76,753.1446
"2022-04-03 00:47:00",265894,0,18.58,29.77,753.1354
"2022-04-03 00:48:00",265895,0,18.56,29.87,753.127
"2022-04-03 00:49:00",265896,0,18.54,29.84,753.106
"2022-04-03 00:50:00",265897,0,18.54,29.87,753.0926
"2022-04-03 00:51:00",265898,0,18.52,29.91,753.0807
"2022-04-03 00:52:00",265899,0,18.53,29.99,753.0733
"2022-04-03 00:53:00",265900,0,18.51,30.03,753.06
"2022-04-03 00:54:00",265901,0,18.48,29.77,753.0388
"2022-04-03 00:55:00",265902,0,18.48,29.75,753.0263
"2022-04-03 00:56:00",265903,0,18.47,29.81,753.0138
"2022-04-03 00:57:00",265904,0,18.47,29.87,752.9986
"2022-04-03 00:58:00",265905,0,18.47,29.87,752.9856
"2022-04-03 00:59:00",265906,0,18.46,29.81,752.9711
"2022-04-03 01:00:00",265907,0,18.47,29.82,752.9593
"2022-04-03 01:01:00",265908,0,18.48,29.58,752.9483
"2022-04-03 01:02:00",265909,0,18.5,29.62,752.9415
"2022-04-03 01:03:00",265910,0,18.47,29.63,752.9244
"2022-04-03 01:04:00",265911,0,18.44,29.75,752.8982
"2022-04-03 01:05:00",265912,0,18.41,29.72,752.8802
"2022-04-03 01:06:00",265913,0,18.41,29.59,752.8673
"2022-04-03 01:07:00",265914,0,18.44,29.53,752.8483
"2022-04-03 01:08:00",265915,0,18.44,29.69,752.8317
"2022-04-03 01:09:00",265916,0,18.43,29.76,752.8188
"2022-04-03 01:10:00",265917,0,18.42,29.85,752.7973
"2022-04-03 01:11:00",265918,0,18.39,30.08,752.7881
"2022-04-03 01:12:00",265919,0,18.39,30.09,752.7818
"2022-04-03 01:13:00",265920,0,18.39,29.83,752.7748
"2022-04-03 01:14:00",265921,0,18.37,30.31,752.7606
"2022-04-03 01:15:00",265922,0,18.31,30.24,752.7667
"2022-04-03 01:16:00",265923,0,18.22,30.38,752.7506
"2022-04-03 01:17:00",265924,0,18.14,30.68,752.7539
"2022-04-03 01:18:00",265925,0,18.09,30.83,752.7441
"2022-04-03 01:19:00",265926,0,18.1,30.59,752.7342
"2022-04-03 01:20:00",265927,0,18.18,30.3,752.7177
"2022-04-03 01:21:00",265928,0,18.21,30.07,752.7149
"2022-04-03 01:22:00",265929,0,18.28,30.1,752.7206
"2022-04-03 01:23:00",265930,0,18.27,30.16,752.7141
"2022-04-03 01:24:00",265931,0,18.24,30.23,752.7012
"2022-04-03 01:25:00",265932,0,18.24,30.23,752.7031
"2022-04-03 01:26:00",265933,0,18.23,30.27,752.6933
"2022-04-03 01:27:00",265934,0,18.25,30.29,752.7023
"2022-04-03 01:28:00",265935,0,18.21,30.57,752.7001
"2022-04-03 01:29:00",265936,0,18.16,30.78,752.6937
"2022-04-03 01:30:00",265937,0,18.13,30.86,752.6889
"2022-04-03 01:31:00",265938,0,18.12,30.97,752.6775
"2022-04-03 01:32:00",265939,0,18.11,31.01,752.6684
"2022-04-03 01:33:00",265940,0,18.1,31.06,752.6544
"2022-04-03 01:34:00",265941,0,18.09,31.06,752.6406
"2022-04-03 01:35:00",265942,0,18.09,30.99,752.6292
"2022-04-03 01:36:00",265943,0,18.09,31.09,752.6263
"2022-04-03 01:37:00",265944,0,18.06,31.19,752.6217
"2022-04-03 01:38:00",265945,0,18.06,31.33,752.6198
"2022-04-03 01:39:00",265946,0,18.05,31.42,752.6205
"2022-04-03 01:40:00",265947,0,18.06,31.44,752.6211
"2022-04-03 01:41:00",265948,0,18.07,31.46,752.6217
"2022-04-03 01:42:00",265949,0,18.08,31.51,752.6362
"2022-04-03 01:43:00",265950,0,18.07,31.66,752.6478
"2022-04-03 01:44:00",265951,0,18.06,31.53,752.6386
"2022-04-03 01:45:00",265952,0,18.05,31.56,752.6465
"2022-04-03 01:46:00",265953,0,18.05,31.57,752.6521
"2022-04-03 01:47:00",265954,0,18.03,31.6,752.648
"2022-04-03 01:48:00",265955,0,17.98,31.72,752.6423
"2022-04-03 01:49:00",265956,0,17.93,31.87,752.632
"2022-04-03 01:50:00",265957,0,17.92,32.01,752.616
"2022-04-03 01:51:00",265958,0,17.9,32.65,752.6035
