"TOA5","8543","CR1000X","8543","CR1000X.Std.05.01","CPU:Est_meteo1.CR1X","5308","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2021-10-28 00:00:00",39768,0,16.05,70.87,753.0856
"2021-10-28 00:01:00",39769,0,16.06,70.5,753.0732
"2021-10-28 00:02:00",39770,0,16.07,70.28,753.0614
"2021-10-28 00:03:00",39771,0,16.04,70.11,753.0539
"2021-10-28 00:04:00",39772,0,16.02,70.08,753.0534
"2021-10-28 00:05:00",39773,0,15.98,70.03,753.0506
"2021-10-28 00:06:00",39774,0,15.97,69.77,753.0467
"2021-10-28 00:07:00",39775,0,15.96,69.65,753.0511
"2021-10-28 00:08:00",39776,0,15.98,69.55,753.0501
"2021-10-28 00:09:00",39777,0,15.96,69.29,753.0538
"2021-10-28 00:10:00",39778,0,15.95,68.97,753.0401
"2021-10-28 00:11:00",39779,0,15.92,68.77,753.0374
"2021-10-28 00:12:00",39780,0,15.91,68.51,753.039
"2021-10-28 00:13:00",39781,0,15.92,68.16,753.0399
"2021-10-28 00:14:00",39782,0,15.9,68,753.0362
"2021-10-28 00:15:00",39783,0,15.88,68.16,753.0433
"2021-10-28 00:16:00",39784,0,15.84,68.1,753.0452
"2021-10-28 00:17:00",39785,0,15.81,68.14,753.0506
"2021-10-28 00:18:00",39786,0,15.79,68.07,753.0607
"2021-10-28 00:19:00",39787,0,15.79,68.14,753.0677
"2021-10-28 00:20:00",39788,0,15.77,67.86,753.0518
"2021-10-28 00:21:00",39789,0,15.8,67.82,753.0522
"2021-10-28 00:22:00",39790,0,15.79,67.58,753.0473
"2021-10-28 00:23:00",39791,0,15.79,67.51,753.0379
"2021-10-28 00:24:00",39792,0,15.79,67.32,753.0334
"2021-10-28 00:25:00",39793,0,15.77,67.15,753.0362
"2021-10-28 00:26:00",39794,0,15.75,67.01,753.0359
"2021-10-28 00:27:00",39795,0,15.75,66.93,753.0435
"2021-10-28 00:28:00",39796,0,15.74,66.92,753.0622
"2021-10-28 00:29:00",39797,0,15.72,67.04,753.0798
"2021-10-28 00:30:00",39798,0,15.67,67.21,753.0745
"2021-10-28 00:31:00",39799,0,15.62,67.23,753.0704
"2021-10-28 00:32:00",39800,0,15.58,67.36,753.0742
"2021-10-28 00:33:00",39801,0,15.55,67.25,753.0715
"2021-10-28 00:34:00",39802,0,15.53,67.16,753.0617
"2021-10-28 00:35:00",39803,0,15.52,67.18,753.0548
"2021-10-28 00:36:00",39804,0,15.51,67.25,753.0458
"2021-10-28 00:37:00",39805,0,15.49,67.24,753.0446
"2021-10-28 00:38:00",39806,0,15.47,67.26,753.0542
"2021-10-28 00:39:00",39807,0,15.45,67.16,753.0713
"2021-10-28 00:40:00",39808,0,15.42,67.14,753.0631
"2021-10-28 00:41:00",39809,0,15.39,67.17,753.0721
"2021-10-28 00:42:00",39810,0,15.37,67.01,753.0677
"2021-10-28 00:43:00",39811,0,15.35,66.96,753.0664
"2021-10-28 00:44:00",39812,0,15.32,66.76,753.065
"2021-10-28 00:45:00",39813,0,15.29,66.7,753.0614
"2021-10-28 00:46:00",39814,0,15.29,66.71,753.0594
"2021-10-28 00:47:00",39815,0,15.29,66.64,753.0577
"2021-10-28 00:48:00",39816,0,15.26,66.31,753.0578
"2021-10-28 00:49:00",39817,0,15.26,66.33,753.055
"2021-10-28 00:50:00",39818,0,15.25,66.22,753.0349
"2021-10-28 00:51:00",39819,0,15.25,66.18,753.0301
"2021-10-28 00:52:00",39820,0,15.23,65.92,753.023
"2021-10-28 00:53:00",39821,0,15.22,65.82,753.0117
"2021-10-28 00:54:00",39822,0,15.21,65.56,753.0075
"2021-10-28 00:55:00",39823,0,15.21,65.53,752.9939
"2021-10-28 00:56:00",39824,0,15.18,65.55,752.9949
"2021-10-28 00:57:00",39825,0,15.18,65.45,752.9932
"2021-10-28 00:58:00",39826,0,15.21,65.42,752.996
"2021-10-28 00:59:00",39827,0,15.19,65.21,753.0002
"2021-10-28 01:00:00",39828,0,15.16,64.7,752.9884
"2021-10-28 01:01:00",39829,0,15.15,64.44,752.9942
"2021-10-28 01:02:00",39830,0,15.16,64.38,752.9937
"2021-10-28 01:03:00",39831,0,15.14,64.38,752.9976
"2021-10-28 01:04:00",39832,0,15.13,64.25,753.0036
"2021-10-28 01:05:00",39833,0,15.12,64.29,753.0004
"2021-10-28 01:06:00",39834,0,15.09,64.41,752.9936
"2021-10-28 01:07:00",39835,0,15.06,64.4,752.9919
"2021-10-28 01:08:00",39836,0,15.05,64.34,752.9886
"2021-10-28 01:09:00",39837,0,15.06,64.42,752.9863
"2021-10-28 01:10:00",39838,0,15.02,64.56,752.9646
"2021-10-28 01:11:00",39839,0,15.02,64.32,752.9603
"2021-10-28 01:12:00",39840,0,15.06,63.92,752.957
"2021-10-28 01:13:00",39841,0,15.06,63.93,752.9499
"2021-10-28 01:14:00",39842,0,15.05,63.92,752.9432
"2021-10-28 01:15:00",39843,0,15.04,63.72,752.9353
"2021-10-28 01:16:00",39844,0,15.02,63.43,752.9318
"2021-10-28 01:17:00",39845,0,15.01,63.44,752.9208
"2021-10-28 01:18:00",39846,0,15,63.54,752.9242
"2021-10-28 01:19:00",39847,0,14.96,63.36,752.9221
"2021-10-28 01:20:00",39848,0,14.94,63.46,752.9043
"2021-10-28 01:21:00",39849,0,14.92,63.28,752.9059
"2021-10-28 01:22:00",39850,0,14.9,63.32,752.8969
"2021-10-28 01:23:00",39851,0,14.91,63.19,752.8884
"2021-10-28 01:24:00",39852,0,14.91,63,752.8832
"2021-10-28 01:25:00",39853,0,14.92,63.01,752.8645
"2021-10-28 01:26:00",39854,0,14.91,62.91,752.8555
"2021-10-28 01:27:00",39855,0,14.92,62.82,752.8457
"2021-10-28 01:28:00",39856,0,14.92,62.77,752.8378
"2021-10-28 01:29:00",39857,0,14.89,62.85,752.8305
"2021-10-28 01:30:00",39858,0,14.85,62.86,752.8034
"2021-10-28 01:31:00",39859,0,14.83,62.79,752.7926
"2021-10-28 01:32:00",39860,0,14.84,62.58,752.7766
"2021-10-28 01:33:00",39861,0,14.84,62.58,752.7715
"2021-10-28 01:34:00",39862,0,14.85,62.58,752.755
"2021-10-28 01:35:00",39863,0,14.85,62.62,752.7447
"2021-10-28 01:36:00",39864,0,14.82,62.47,752.7321
"2021-10-28 01:37:00",39865,0,14.8,62.59,752.7223
"2021-10-28 01:38:00",39866,0,14.79,62.4,752.7209
"2021-10-28 01:39:00",39867,0,14.77,62.38,752.7174
"2021-10-28 01:40:00",39868,0,14.77,62.29,752.6959
"2021-10-28 01:41:00",39869,0,14.79,62.17,752.6907
"2021-10-28 01:42:00",39870,0,14.77,62.09,752.6906
"2021-10-28 01:43:00",39871,0,14.77,62.13,752.6866
"2021-10-28 01:44:00",39872,0,14.76,62.19,752.691
"2021-10-28 01:45:00",39873,0,14.76,62.23,752.686
"2021-10-28 01:46:00",39874,0,14.75,62.11,752.6942
"2021-10-28 01:47:00",39875,0,14.73,62.07,752.6996
"2021-10-28 01:48:00",39876,0,14.73,62.01,752.7151
"2021-10-28 01:49:00",39877,0,14.75,61.97,752.7249
"2021-10-28 01:50:00",39878,0,14.74,61.78,752.7226
"2021-10-28 01:51:00",39879,0,14.75,61.72,752.7259
