TOA5,8543,CR1000X,8543.1,CR1000X.Std.05.01,CPU:Est_meteo1.CR1X
2021-12-10 00:00:00,101688.0,0.0,13.81,47.46,754.3604
2021-12-10 00:01:00,101689.0,0.0,13.82,47.44,754.3532
2021-12-10 00:02:00,101690.0,0.0,13.8,47.57,754.3508
2021-12-10 00:03:00,101691.0,0.0,13.79,47.54,754.3544
2021-12-10 00:04:00,101692.0,0.0,13.78,47.51,754.361
2021-12-10 00:05:00,101693.0,0.0,13.77,47.56,754.36
2021-12-10 00:06:00,101694.0,0.0,13.75,47.67,754.3621
2021-12-10 00:07:00,101695.0,0.0,13.73,47.75,754.3567
2021-12-10 00:08:00,101696.0,0.0,13.7,47.87,754.3534
2021-12-10 00:09:00,101697.0,0.0,13.7,47.86,754.3593
2021-12-10 00:10:00,101698.0,0.0,13.69,47.9,754.3335
2021-12-10 00:11:00,101699.0,0.0,13.67,47.96,754.3225
2021-12-10 00:12:00,101700.0,0.0,13.66,48.0,754.3166
2021-12-10 00:13:00,101701.0,0.0,13.67,48.04,754.3166
2021-12-10 00:14:00,101702.0,0.0,13.65,48.13,754.3078
2021-12-10 00:15:00,101703.0,0.0,13.64,48.16,754.3065
2021-12-10 00:16:00,101704.0,0.0,13.66,48.09,754.2946
2021-12-10 00:17:00,101705.0,0.0,13.65,48.16,754.2894
2021-12-10 00:18:00,101706.0,0.0,13.63,48.28,754.284
2021-12-10 00:19:00,101707.0,0.0,13.62,48.35,754.2854
2021-12-10 00:20:00,101708.0,0.0,13.6,48.37,754.2617
2021-12-10 00:21:00,101709.0,0.0,13.58,48.41,754.2563
2021-12-10 00:22:00,101710.0,0.0,13.55,48.52,754.2364
2021-12-10 00:23:00,101711.0,0.0,13.53,48.64,754.2191
2021-12-10 00:24:00,101712.0,0.0,13.53,48.65,754.1953
2021-12-10 00:25:00,101713.0,0.0,13.54,48.66,754.1856
2021-12-10 00:26:00,101714.0,0.0,13.55,48.62,754.1822
2021-12-10 00:27:00,101715.0,0.0,13.54,48.69,754.1904
2021-12-10 00:28:00,101716.0,0.0,13.55,48.65,754.2061
2021-12-10 00:29:00,101717.0,0.0,13.57,48.63,754.2242
2021-12-10 00:30:00,101718.0,0.0,13.54,48.69,754.2198
2021-12-10 00:31:00,101719.0,0.0,13.5,48.85,754.2286
2021-12-10 00:32:00,101720.0,0.0,13.48,48.92,754.243
2021-12-10 00:33:00,101721.0,0.0,13.46,49.04,754.263
2021-12-10 00:34:00,101722.0,0.0,13.41,49.24,754.2988
2021-12-10 00:35:00,101723.0,0.0,13.38,49.39,754.3332
2021-12-10 00:36:00,101724.0,0.0,13.34,49.54,754.3629
2021-12-10 00:37:00,101725.0,0.0,13.34,49.58,754.3951
2021-12-10 00:38:00,101726.0,0.0,13.34,49.57,754.4267
2021-12-10 00:39:00,101727.0,0.0,13.36,49.54,754.4659
2021-12-10 00:40:00,101728.0,0.0,13.35,49.58,754.4674
2021-12-10 00:41:00,101729.0,0.0,13.32,49.67,754.467
2021-12-10 00:42:00,101730.0,0.0,13.32,49.68,754.4698
2021-12-10 00:43:00,101731.0,0.0,13.32,49.74,754.4708
2021-12-10 00:44:00,101732.0,0.0,13.32,49.69,754.4557
2021-12-10 00:45:00,101733.0,0.0,13.34,49.54,754.4518
2021-12-10 00:46:00,101734.0,0.0,13.35,49.56,754.4388
2021-12-10 00:47:00,101735.0,0.0,13.36,49.61,754.4234
2021-12-10 00:48:00,101736.0,0.0,13.34,49.58,754.3975
2021-12-10 00:49:00,101737.0,0.0,13.36,49.53,754.3938
2021-12-10 00:50:00,101738.0,0.0,13.36,49.42,754.3637
2021-12-10 00:51:00,101739.0,0.0,13.37,49.33,754.337
2021-12-10 00:52:00,101740.0,0.0,13.38,49.26,754.3205
