TOA5,8543,CR1000X,8543.1,CR1000X.Std.05.01,CPU:Est_meteo1.CR1X,5308
2022-01-10 00:00:00,146328.0,0.0,12.15,38.22,757.7287,
2022-01-10 00:01:00,146329.0,0.0,12.14,38.0,757.7183,
2022-01-10 00:02:00,146330.0,0.0,12.16,37.95,757.7203,
2022-01-10 00:03:00,146331.0,0.0,12.14,37.87,757.731,
2022-01-10 00:04:00,146332.0,0.0,12.15,37.71,757.7362,
2022-01-10 00:05:00,146333.0,0.0,12.16,37.66,757.7422,
2022-01-10 00:06:00,146334.0,0.0,12.14,37.75,757.7514,
2022-01-10 00:07:00,146335.0,0.0,12.14,37.7,757.7499,
2022-01-10 00:08:00,146336.0,0.0,12.12,37.75,757.7473,
2022-01-10 00:09:00,146337.0,0.0,12.1,37.78,757.7451,
2022-01-10 00:10:00,146338.0,0.0,12.09,37.74,757.7348,
2022-01-10 00:11:00,146339.0,0.0,12.05,37.74,757.7148,
2022-01-10 00:12:00,146340.0,0.0,12.04,37.7,757.6896,
2022-01-10 00:13:00,146341.0,0.0,12.02,37.71,757.6706,
2022-01-10 00:14:00,146342.0,0.0,12.0,37.79,757.6551,
2022-01-10 00:15:00,146343.0,0.0,11.99,37.79,757.6458,
2022-01-10 00:16:00,146344.0,0.0,12.0,37.72,757.6415,
2022-01-10 00:17:00,146345.0,0.0,12.0,37.74,757.6371,
2022-01-10 00:18:00,146346.0,0.0,12.01,37.67,757.6384,
2022-01-10 00:19:00,146347.0,0.0,12.04,37.57,757.6474,
2022-01-10 00:20:00,146348.0,0.0,12.03,37.51,757.6366,
2022-01-10 00:21:00,146349.0,0.0,12.0,37.57,757.6274,
2022-01-10 00:22:00,146350.0,0.0,11.96,37.77,757.6275,
2022-01-10 00:23:00,146351.0,0.0,11.93,37.82,757.6046,
2022-01-10 00:24:00,146352.0,0.0,11.93,37.82,757.5818,
2022-01-10 00:25:00,146353.0,0.0,11.96,37.76,757.55,
2022-01-10 00:26:00,146354.0,0.0,11.96,37.77,757.5185,
2022-01-10 00:27:00,146355.0,0.0,11.94,37.83,757.5134,
2022-01-10 00:28:00,146356.0,0.0,11.9,37.97,757.5138,
2022-01-10 00:29:00,146357.0,0.0,11.89,38.06,757.515,
2022-01-10 00:30:00,146358.0,0.0,11.86,38.15,757.521,
2022-01-10 00:31:00,146359.0,0.0,11.86,38.15,757.5079,
2022-01-10 00:32:00,146360.0,0.0,11.88,38.09,757.5078,
2022-01-10 00:33:00,146361.0,0.0,11.85,38.2,757.5033,
2022-01-10 00:34:00,146362.0,0.0,11.85,38.23,757.5037,
2022-01-10 00:35:00,146363.0,0.0,11.84,38.32,757.5104,
2022-01-10 00:36:00,146364.0,0.0,11.85,38.33,757.5164,
2022-01-10 00:37:00,146365.0,0.0,11.88,38.33,757.5282,
2022-01-10 00:38:00,146366.0,0.0,11.86,38.39,757.547,
2022-01-10 00:39:00,146367.0,0.0,11.84,38.56,757.5658,
2022-01-10 00:40:00,146368.0,0.0,11.84,38.59,757.5685,
2022-01-10 00:41:00,146369.0,0.0,11.82,38.67,757.5636,
2022-01-10 00:42:00,146370.0,0.0,11.8,38.78,757.5714,
2022-01-10 00:43:00,146371.0,0.0,11.79,38.82,757.5737,
2022-01-10 00:44:00,146372.0,0.0,11.78,38.83,757.5728,
2022-01-10 00:45:00,146373.0,0.0,11.8,38.86,757.591,
2022-01-10 00:46:00,146374.0,0.0,11.81,38.86,757.5866,
2022-01-10 00:47:00,146375.0,0.0,11.81,38.94,757.5818,
2022-01-10 00:48:00,146376.0,0.0,11.81,38.95,757.5762,
2022-01-10 00:49:00,146377.0,0.0,11.81,39.02,757.5735,
2022-01-10 00:50:00,146378.0,0.0,11.82,39.07,757.5668,
2022-01-10 00:51:00,146379.0,0.0,11.8,39.18,757.5681,
2022-01-10 00:52:00,146380.0,0.0,11.77,39.25,757.5674,
2022-01-10 00:53:00,146381.0,0.0,11.72,39.45,757.5673,
