TOA5,8543,CR1000X,8543.1,CR1000X.Std.03.02,CPU:Est_meteo1.CR1X
2021-07-10 00:00:00,832744.0,0.0,15.15,85.9,755.9574
2021-07-10 00:01:00,832745.0,0.0,15.07,86.1,755.9615
2021-07-10 00:02:00,832746.0,0.0,14.99,86.2,755.9626
2021-07-10 00:03:00,832747.0,0.0,14.94,86.4,755.9713
2021-07-10 00:04:00,832748.0,0.0,14.94,86.8,755.9672
2021-07-10 00:05:00,832749.0,0.0,14.92,87.1,755.9694
2021-07-10 00:06:00,832750.0,0.011,14.95,87.5,755.9682
2021-07-10 00:07:00,832751.0,0.168,14.89,88.0,755.9571
2021-07-10 00:08:00,832752.0,0.082,14.85,88.6,755.945
2021-07-10 00:09:00,832753.0,0.448,14.7,88.3,755.9087
2021-07-10 00:10:00,832754.0,0.561,14.63,88.3,755.9026
2021-07-10 00:11:00,832755.0,0.432,14.63,88.6,755.9074
2021-07-10 00:12:00,832756.0,0.725,14.54,88.7,755.9303
2021-07-10 00:13:00,832757.0,0.872,14.43,88.8,755.9442
2021-07-10 00:14:00,832758.0,0.422,14.39,89.3,755.9766
2021-07-10 00:15:00,832759.0,0.758,14.32,89.5,755.9911
2021-07-10 00:16:00,832760.0,0.703,14.27,89.8,756.0066
2021-07-10 00:17:00,832761.0,0.533,14.24,90.1,756.012
2021-07-10 00:18:00,832762.0,0.244,14.2,90.3,756.0251
2021-07-10 00:19:00,832763.0,0.013,14.23,90.7,755.9986
2021-07-10 00:20:00,832764.0,0.038,14.16,90.7,755.9798
2021-07-10 00:21:00,832765.0,0.376,14.08,90.6,755.9587
2021-07-10 00:22:00,832766.0,0.481,14.01,90.5,755.9506
2021-07-10 00:23:00,832767.0,0.684,13.92,90.1,755.9502
2021-07-10 00:24:00,832768.0,0.121,13.96,90.2,755.9643
2021-07-10 00:25:00,832769.0,0.0,14.02,90.5,755.9719
2021-07-10 00:26:00,832770.0,0.0,14.05,90.6,755.9705
2021-07-10 00:27:00,832771.0,0.0,14.03,90.6,755.9776
2021-07-10 00:28:00,832772.0,0.037,13.99,90.5,755.981
2021-07-10 00:29:00,832773.0,0.136,13.89,90.0,755.9613
2021-07-10 00:30:00,832774.0,0.04,13.93,89.8,755.9543
2021-07-10 00:31:00,832775.0,0.0,13.96,89.4,755.9442
2021-07-10 00:32:00,832776.0,0.0,14.04,89.4,755.9279
2021-07-10 00:33:00,832777.0,0.0,14.12,89.3,755.9162
2021-07-10 00:34:00,832778.0,0.0,14.07,88.9,755.8954
2021-07-10 00:35:00,832779.0,0.0,14.09,88.8,755.8661
2021-07-10 00:36:00,832780.0,0.0,14.14,88.8,755.8392
2021-07-10 00:37:00,832781.0,0.0,14.16,88.8,755.818
2021-07-10 00:38:00,832782.0,0.0,14.18,88.7,755.8178
2021-07-10 00:39:00,832783.0,0.0,14.14,88.7,755.787
2021-07-10 00:40:00,832784.0,0.0,14.19,89.0,755.7882
2021-07-10 00:41:00,832785.0,0.0,14.15,88.9,755.7998
2021-07-10 00:42:00,832786.0,0.0,14.09,88.7,755.813
2021-07-10 00:43:00,832787.0,0.0,14.08,88.5,755.8255
2021-07-10 00:44:00,832788.0,0.0,14.1,88.5,755.8248
2021-07-10 00:45:00,832789.0,0.0,14.18,88.8,755.8166
2021-07-10 00:46:00,832790.0,0.0,14.2,88.7,755.805
2021-07-10 00:47:00,832791.0,0.0,14.22,88.8,755.7887
2021-07-10 00:48:00,832792.0,0.0,14.3,89.0,755.7893
