TOA5,8543,CR1000X,8543.1,CR1000X.Std.05.01,CPU:Est_meteo1.CR1X
2022-03-10 00:00:00,231287.0,0.0,14.87,32.4,751.0942
2022-03-10 00:01:00,231288.0,0.0,14.86,32.33,751.0976
2022-03-10 00:02:00,231289.0,0.0,14.84,32.3,751.1059
2022-03-10 00:03:00,231290.0,0.0,14.73,32.34,751.1327
2022-03-10 00:04:00,231291.0,0.0,14.63,32.46,751.1495
2022-03-10 00:05:00,231292.0,0.0,14.54,32.6,751.1629
2022-03-10 00:06:00,231293.0,0.0,14.44,32.64,751.1439
2022-03-10 00:07:00,231294.0,0.0,14.38,32.71,751.1471
2022-03-10 00:08:00,231295.0,0.0,14.37,32.42,751.1306
2022-03-10 00:09:00,231296.0,0.0,14.42,32.23,751.125
2022-03-10 00:10:00,231297.0,0.0,14.5,32.06,751.1238
2022-03-10 00:11:00,231298.0,0.0,14.59,31.68,751.0679
2022-03-10 00:12:00,231299.0,0.0,14.66,31.63,751.0458
2022-03-10 00:13:00,231300.0,0.0,14.7,31.18,751.0422
2022-03-10 00:14:00,231301.0,0.0,14.85,30.19,751.0299
2022-03-10 00:15:00,231302.0,0.0,15.02,29.76,751.013
2022-03-10 00:16:00,231303.0,0.0,15.04,29.81,751.0304
2022-03-10 00:17:00,231304.0,0.0,15.04,29.7,751.0244
2022-03-10 00:18:00,231305.0,0.0,15.02,29.73,751.0097
2022-03-10 00:19:00,231306.0,0.0,15.01,29.73,750.9931
2022-03-10 00:20:00,231307.0,0.0,15.01,29.69,750.9846
2022-03-10 00:21:00,231308.0,0.0,15.01,29.87,750.9721
2022-03-10 00:22:00,231309.0,0.0,14.98,30.1,750.9558
2022-03-10 00:23:00,231310.0,0.0,14.93,30.28,750.9334
2022-03-10 00:24:00,231311.0,0.0,14.92,30.2,750.9101
2022-03-10 00:25:00,231312.0,0.0,14.94,30.36,750.9077
2022-03-10 00:26:00,231313.0,0.0,14.9,30.44,750.9013
2022-03-10 00:27:00,231314.0,0.0,14.89,30.26,750.8994
2022-03-10 00:28:00,231315.0,0.0,14.9,30.41,750.893
2022-03-10 00:29:00,231316.0,0.0,14.88,30.67,750.8857
2022-03-10 00:30:00,231317.0,0.0,14.81,30.88,750.8714
2022-03-10 00:31:00,231318.0,0.0,14.81,30.51,750.8549
2022-03-10 00:32:00,231319.0,0.0,14.87,30.49,750.8422
2022-03-10 00:33:00,231320.0,0.0,14.83,30.74,750.8333
2022-03-10 00:34:00,231321.0,0.0,14.77,30.93,750.817
2022-03-10 00:35:00,231322.0,0.0,14.7,31.29,750.8101
2022-03-10 00:36:00,231323.0,0.0,14.64,31.1,750.8122
2022-03-10 00:37:00,231324.0,0.0,14.62,31.15,750.8139
