TOA5,8543,CR1000X,8543.1,CR1000X.Std.05.01,CPU:Est_meteo1.CR1X
2021-11-10 00:00:00,58488.0,0.0,12.22,61.22,754.7041
2021-11-10 00:01:00,58489.0,0.0,12.22,61.32,754.7006
2021-11-10 00:02:00,58490.0,0.0,12.25,61.46,754.6842
2021-11-10 00:03:00,58491.0,0.0,12.25,61.35,754.6801
2021-11-10 00:04:00,58492.0,0.0,12.23,61.4,754.6701
2021-11-10 00:05:00,58493.0,0.0,12.2,61.52,754.6498
2021-11-10 00:06:00,58494.0,0.0,12.18,61.53,754.6322
2021-11-10 00:07:00,58495.0,0.0,12.16,61.58,754.621
2021-11-10 00:08:00,58496.0,0.0,12.16,61.65,754.6182
2021-11-10 00:09:00,58497.0,0.0,12.15,61.73,754.619
2021-11-10 00:10:00,58498.0,0.0,12.14,61.78,754.5966
2021-11-10 00:11:00,58499.0,0.0,12.12,61.88,754.5954
2021-11-10 00:12:00,58500.0,0.0,12.12,61.99,754.5807
2021-11-10 00:13:00,58501.0,0.0,12.15,61.93,754.5754
2021-11-10 00:14:00,58502.0,0.0,12.16,61.82,754.5686
2021-11-10 00:15:00,58503.0,0.0,12.19,61.79,754.563
2021-11-10 00:16:00,58504.0,0.0,12.19,61.78,754.5542
2021-11-10 00:17:00,58505.0,0.0,12.18,61.8,754.5529
2021-11-10 00:18:00,58506.0,0.0,12.19,61.86,754.5459
2021-11-10 00:19:00,58507.0,0.0,12.21,61.82,754.5386
2021-11-10 00:20:00,58508.0,0.0,12.21,61.76,754.5055
2021-11-10 00:21:00,58509.0,0.0,12.25,61.71,754.4958
2021-11-10 00:22:00,58510.0,0.0,12.27,61.57,754.4852
2021-11-10 00:23:00,58511.0,0.0,12.25,61.54,754.47
2021-11-10 00:24:00,58512.0,0.0,12.23,61.5,754.4542
2021-11-10 00:25:00,58513.0,0.0,12.21,61.42,754.4456
2021-11-10 00:26:00,58514.0,0.0,12.17,61.5,754.4372
2021-11-10 00:27:00,58515.0,0.0,12.13,61.63,754.4293
2021-11-10 00:28:00,58516.0,0.0,12.09,61.74,754.4233
2021-11-10 00:29:00,58517.0,0.0,12.08,61.87,754.4283
2021-11-10 00:30:00,58518.0,0.0,12.1,62.14,754.3971
2021-11-10 00:31:00,58519.0,0.0,12.14,61.95,754.3854
2021-11-10 00:32:00,58520.0,0.0,12.12,61.82,754.3785
2021-11-10 00:33:00,58521.0,0.0,12.12,61.9,754.3604
