,TOA5,DAY 1,DAY 2,DAY 3,DAY 4,DAY 5,DAY 6,DAY 7,DAY 8,DAY 9,DAY 10,DAY 11,DAY 12,DAY 13,DAY 14,DAY 15,DAY 16,DAY 17,DAY 18,DAY 19,DAY 20,DAY 21,DAY 22,DAY 23,DAY 24,DAY 25,DAY 26,DAY 27,DAY 28,DAY 29,DAY 30
0,00:00:00,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,00:01:00,0.0,0.0,0.0,0.187,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.008,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,00:02:00,0.0,0.0,0.0,0.187,0.0,0.0,0.0,0.185,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.006,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,00:03:00,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.006,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,00:04:00,0.0,0.0,0.0,0.252,0.0,0.007,0.0,0.152,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.016,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,00:05:00,0.0,0.0,0.0,0.198,0.0,0.026,0.0,0.223,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.01,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,00:06:00,0.0,0.0,0.0,0.153,0.0,0.036,0.0,0.282,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,00:07:00,0.0,0.0,0.0,0.153,0.0,0.235,0.0,0.302,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,00:08:00,0.0,0.0,0.0,0.12,0.0,0.316,0.0,0.174,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,00:09:00,0.0,0.009,0.0,0.143,0.0,0.233,0.0,0.118,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
