,Unnamed: 0,TOA5,DAY 1,DAY 2,DAY 3,DAY 4,DAY 5,DAY 6,DAY 7,DAY 8,DAY 9,DAY 10,DAY 11,DAY 12,DAY 13,DAY 14,DAY 15,DAY 16,DAY 17,DAY 18,DAY 19,DAY 20,DAY 21,DAY 22,DAY 23,DAY 24,DAY 25,DAY 26,DAY 27,DAY 28,DAY 29,DAY 30,Radiación Promedio
0,0,00:00:00,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022655172413793105
1,1,00:01:00,0.0,0.0,0.0,0.187,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.008,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02193103448275862
2,2,00:02:00,0.0,0.0,0.0,0.187,0.0,0.0,0.0,0.185,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.006,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016379310344827588
3,3,00:03:00,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.006,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017068965517241377
4,4,00:04:00,0.0,0.0,0.0,0.252,0.0,0.007,0.0,0.152,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.016,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017275862068965517
5,5,00:05:00,0.0,0.0,0.0,0.198,0.0,0.026,0.0,0.223,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.01,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021310344827586206
6,6,00:06:00,0.0,0.0,0.0,0.153,0.0,0.036,0.0,0.282,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01862068965517241
7,7,00:07:00,0.0,0.0,0.0,0.153,0.0,0.235,0.0,0.302,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02410344827586207
8,8,00:08:00,0.0,0.0,0.0,0.12,0.0,0.316,0.0,0.174,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022482758620689654
9,9,00:09:00,0.0,0.009,0.0,0.143,0.0,0.233,0.0,0.118,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025172413793103445
10,10,00:10:00,0.0,0.173,0.0,0.13,0.0,0.152,0.001,0.083,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027206896551724136
11,11,00:11:00,0.0,0.011,0.0,0.127,0.0,0.144,0.0,0.012,0.0,0.0,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193448275862069
12,12,00:12:00,0.0,0.015,0.0,0.17,0.0,0.019,0.0,0.002,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012827586206896554
13,13,00:13:00,0.0,0.0,0.0,0.271,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02610344827586207
14,14,00:14:00,0.0,0.0,0.0,0.286,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029551724137931036
15,15,00:15:00,0.0,0.0,0.0,0.388,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02917241379310345
16,16,00:16:00,0.0,0.0,0.0,0.234,0.0,0.06,0.0,0.002,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016758620689655175
17,17,00:17:00,0.0,0.0,0.0,0.157,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018241379310344825
18,18,00:18:00,0.0,0.04,0.0,0.184,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023655172413793106
19,19,00:19:00,0.0,0.02,0.0,0.205,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022655172413793105
20,20,00:20:00,0.0,0.0,0.0,0.218,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018793103448275863
21,21,00:21:00,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019206896551724136
