"TOA5","8543","CR1000X","8543","CR1000X.Std.03.02","CPU:Est_meteo1.CR1X","5308","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2021-09-11 00:00:00",923463,0,12.64,86.5,755.4505
"2021-09-11 00:01:00",923464,0,12.59,86.3,755.4471
"2021-09-11 00:02:00",923465,0,12.59,86.4,755.447
"2021-09-11 00:03:00",923466,0,12.56,86.3,755.4542
"2021-09-11 00:04:00",923467,0,12.5,86,755.459
"2021-09-11 00:05:00",923468,0,12.48,86.1,755.4638
"2021-09-11 00:06:00",923469,0,12.47,86,755.458
"2021-09-11 00:07:00",923470,0,12.51,86.1,755.4558
"2021-09-11 00:08:00",923471,0,12.51,85.9,755.4534
"2021-09-11 00:09:00",923472,0,12.59,86.2,755.4439
"2021-09-11 00:10:00",923473,0,12.58,85.8,755.4267
"2021-09-11 00:11:00",923474,0,12.53,85.4,755.4138
"2021-09-11 00:12:00",923475,0,12.48,84.9,755.3993
"2021-09-11 00:13:00",923476,0,12.5,85,755.3937
"2021-09-11 00:14:00",923477,0,12.55,85.1,755.3799
"2021-09-11 00:15:00",923478,0,12.57,85.2,755.387
"2021-09-11 00:16:00",923479,0,12.62,85.2,755.3814
"2021-09-11 00:17:00",923480,0,12.62,84.9,755.379
"2021-09-11 00:18:00",923481,0,12.64,84.9,755.3876
"2021-09-11 00:19:00",923482,0,12.69,84.9,755.3847
"2021-09-11 00:20:00",923483,0,12.61,84.6,755.3678
"2021-09-11 00:21:00",923484,0,12.64,84.8,755.3682
"2021-09-11 00:22:00",923485,0,12.66,84.8,755.3807
"2021-09-11 00:23:00",923486,0,12.6,84.2,755.3708
"2021-09-11 00:24:00",923487,0,12.53,84.2,755.3536
"2021-09-11 00:25:00",923488,0,12.54,84.2,755.3414
"2021-09-11 00:26:00",923489,0,12.51,84,755.3328
"2021-09-11 00:27:00",923490,0,12.49,83.9,755.3191
"2021-09-11 00:28:00",923491,0,12.5,83.9,755.317
"2021-09-11 00:29:00",923492,0,12.56,84.1,755.2913
"2021-09-11 00:30:00",923493,0,12.6,84.2,755.2743
"2021-09-11 00:31:00",923494,0,12.53,83.7,755.2423
"2021-09-11 00:32:00",923495,0,12.47,83.6,755.2306
"2021-09-11 00:33:00",923496,0,12.47,83.7,755.216
"2021-09-11 00:34:00",923497,0,12.49,83.9,755.2116
"2021-09-11 00:35:00",923498,0,12.53,84,755.2032
"2021-09-11 00:36:00",923499,0,12.5,83.6,755.1935
"2021-09-11 00:37:00",923500,0,12.45,83.6,755.187
"2021-09-11 00:38:00",923501,0,12.51,83.7,755.1922
"2021-09-11 00:39:00",923502,0,12.5,83.8,755.1739
"2021-09-11 00:40:00",923503,0,12.54,84,755.1556
"2021-09-11 00:41:00",923504,0,12.6,84.1,755.1209
"2021-09-11 00:42:00",923505,0,12.58,83.8,755.1172
"2021-09-11 00:43:00",923506,0,12.47,83.2,755.0989
"2021-09-11 00:44:00",923507,0,12.45,83.4,755.0736
"2021-09-11 00:45:00",923508,0,12.49,83.6,755.0712
"2021-09-11 00:46:00",923509,0,12.54,83.8,755.0543
"2021-09-11 00:47:00",923510,0,12.61,84,755.0477
"2021-09-11 00:48:00",923511,0,12.64,83.8,755.0535
"2021-09-11 00:49:00",923512,0,12.66,83.7,755.0437
"2021-09-11 00:50:00",923513,0,12.56,83.1,755.0206
"2021-09-11 00:51:00",923514,0,12.52,83.1,755.0105
"2021-09-11 00:52:00",923515,0,12.5,83.3,754.9931
"2021-09-11 00:53:00",923516,0,12.56,83.5,754.9942
"2021-09-11 00:54:00",923517,0,12.56,83.3,754.9898
"2021-09-11 00:55:00",923518,0,12.49,83,754.9729
"2021-09-11 00:56:00",923519,0,12.47,83.2,754.9641
"2021-09-11 00:57:00",923520,0,12.47,83.3,754.9685
"2021-09-11 00:58:00",923521,0,12.48,83.3,754.9664
"2021-09-11 00:59:00",923522,0,12.48,83.4,754.9558
"2021-09-11 01:00:00",923523,0,12.52,83.6,754.9275
"2021-09-11 01:01:00",923524,0,12.55,83.5,754.9102
"2021-09-11 01:02:00",923525,0,12.51,83.3,754.8846
"2021-09-11 01:03:00",923526,0,12.48,83.3,754.8719
"2021-09-11 01:04:00",923527,0,12.48,83.4,754.8449
"2021-09-11 01:05:00",923528,0,12.47,83.3,754.8117
"2021-09-11 01:06:00",923529,0,12.41,83.1,754.8158
"2021-09-11 01:07:00",923530,0,12.45,83.2,754.8068
"2021-09-11 01:08:00",923531,0,12.46,83.1,754.8145
"2021-09-11 01:09:00",923532,0,12.4,82.9,754.7998
"2021-09-11 01:10:00",923533,0,12.4,83.3,754.7946
"2021-09-11 01:11:00",923534,0,12.43,83.3,754.7931
"2021-09-11 01:12:00",923535,0,12.42,83.2,754.7821
"2021-09-11 01:13:00",923536,0,12.38,83.1,754.7775
"2021-09-11 01:14:00",923537,0,12.35,83.2,754.7641
"2021-09-11 01:15:00",923538,0,12.34,83.3,754.7564
"2021-09-11 01:16:00",923539,0,12.35,83.3,754.7525
"2021-09-11 01:17:00",923540,0,12.34,83.5,754.7498
"2021-09-11 01:18:00",923541,0,12.35,83.6,754.7581
"2021-09-11 01:19:00",923542,0,12.38,83.6,754.7558
"2021-09-11 01:20:00",923543,0,12.36,83.7,754.7483
"2021-09-11 01:21:00",923544,0,12.38,83.8,754.7362
"2021-09-11 01:22:00",923545,0,12.4,83.8,754.7334
"2021-09-11 01:23:00",923546,0,12.43,83.7,754.7064
"2021-09-11 01:24:00",923547,0,12.4,83.6,754.6891
"2021-09-11 01:25:00",923548,0,12.41,83.6,754.6953
"2021-09-11 01:26:00",923549,0,12.36,83.5,754.683
"2021-09-11 01:27:00",923550,0,12.35,83.6,754.6742
"2021-09-11 01:28:00",923551,0,12.36,83.6,754.6822
"2021-09-11 01:29:00",923552,0,12.32,83.6,754.6694
"2021-09-11 01:30:00",923553,0,12.3,83.3,754.6518
"2021-09-11 01:31:00",923554,0,12.3,83.3,754.6429
"2021-09-11 01:32:00",923555,0,12.32,83.4,754.6367
"2021-09-11 01:33:00",923556,0,12.29,83.2,754.6232
"2021-09-11 01:34:00",923557,0,12.3,83.3,754.6146
"2021-09-11 01:35:00",923558,0,12.29,83.2,754.6006
"2021-09-11 01:36:00",923559,0,12.24,83,754.5847
"2021-09-11 01:37:00",923560,0,12.23,83.1,754.5705
"2021-09-11 01:38:00",923561,0,12.25,83.1,754.5627
"2021-09-11 01:39:00",923562,0,12.27,83.2,754.552
"2021-09-11 01:40:00",923563,0,12.32,83.2,754.5338
"2021-09-11 01:41:00",923564,0,12.26,82.9,754.511
"2021-09-11 01:42:00",923565,0,12.27,83.1,754.4935
"2021-09-11 01:43:00",923566,0,12.3,83.1,754.4772
"2021-09-11 01:44:00",923567,0,12.33,83.2,754.4706
"2021-09-11 01:45:00",923568,0,12.35,83,754.459
"2021-09-11 01:46:00",923569,0,12.3,83.1,754.4558
"2021-09-11 01:47:00",923570,0,12.3,83.2,754.455
"2021-09-11 01:48:00",923571,0,12.34,83.2,754.4635
"2021-09-11 01:49:00",923572,0,12.24,82.9,754.4368
"2021-09-11 01:50:00",923573,0,12.25,83.3,754.4256
"2021-09-11 01:51:00",923574,0,12.25,83.1,754.4311
