Fracción Volumen,Radio (nm),Espesor de la película (nm),Índice de absorción
3.0,15.0,109.0,0.0015325782772157
3.0,15.0,108.0,0.0146923624625714
3.0,15.0,108.0,0.0028145462146336
3.0,15.0,108.0,0.0005723437321756
3.0,15.0,108.0,0.0031039014703185
3.0,15.0,108.0,0.0021905444147999
3.0,15.0,108.0,0.0083152646134211
3.0,15.0,108.0,0.0091268278106183
3.0,15.0,108.0,0.0005336771209006
3.0,15.0,109.0,
3.0,15.0,108.0,0.0038101008214569
3.0,15.0,108.0,0.0026781303293691
3.0,15.0,108.0,0.0077593513759059
3.0,15.0,108.0,0.0012276487360086
3.0,15.0,108.0,7.04344113836e-05
3.0,15.0,108.0,0.0086284312339226
3.0,15.0,108.0,
3.0,15.0,108.0,0.0018586513179331
3.0,15.0,108.0,0.0002680458540711
3.0,15.0,108.0,0.0025876364554107
3.0,15.0,108.0,0.0021911759176571
3.0,15.0,108.0,0.001582307751734
3.0,15.0,108.0,0.0004613039482571
3.0,15.0,108.0,0.0048242902503113
3.0,15.0,109.0,0.0087583865142546
3.0,15.0,108.0,0.0005929417106534
3.0,15.0,109.0,0.0015651698976089
3.0,15.0,108.0,0.0045917769970108
3.0,15.0,108.0,
3.0,15.0,108.0,0.0285089271256547
3.0,15.0,108.0,0.0027390818012771
3.0,15.0,108.0,0.0002202258837173
3.0,15.0,108.0,0.0033282321897245
3.0,15.0,108.0,0.0018932931398725
3.0,15.0,108.0,0.0032447229625584
3.0,15.0,108.0,0.0038210469482034
3.0,15.0,109.0,0.0022478754683186
3.0,15.0,108.0,0.00639415863681
3.0,15.0,108.0,0.0081806634323262
3.0,15.0,108.0,0.0021133664165553
3.0,15.0,108.0,0.0019918168143862
3.0,15.0,108.0,0.000799993434873
3.0,15.0,108.0,0.0003356676158714
3.0,15.0,108.0,0.0011385158924467
3.0,15.0,108.0,0.001914207583161
3.0,15.0,108.0,0.0089055061973581
3.0,15.0,109.0,0.0016694866527645
3.0,15.0,108.0,0.0027472143410477
3.0,15.0,108.0,
3.0,15.0,108.0,0.0021059918689358
3.0,16.0,111.0,0.0005136923403011
3.0,15.0,109.0,0.020355446809374
3.0,15.0,108.0,0.0162356450975858
3.0,16.0,112.0,0.0017262073733906
3.0,15.0,108.0,0.0176011357299975
3.0,15.0,108.0,
3.0,15.0,108.0,0.0118268149066037
3.0,15.0,109.0,0.0707343926494423
3.0,15.0,108.0,
3.0,15.0,108.0,0.0022168274661323
3.0,15.0,109.0,
3.0,15.0,108.0,0.0008848302191222
3.0,15.0,108.0,0.0020638556960031
3.0,15.0,108.0,0.0073856919609968
3.0,15.0,109.0,0.0005222283276103
3.0,15.0,108.0,0.0004968339038115
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0008456695903669
3.0,15.0,108.0,0.0020651770477953
3.0,15.0,108.0,0.0057498131597198
3.0,15.0,108.0,0.0016240964142697
3.0,15.0,109.0,0.0018995888428142
3.0,15.0,109.0,0.012924554390217
3.0,15.0,109.0,
3.0,15.0,108.0,0.0139132880345741
3.0,15.0,109.0,0.0023183713660152
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0021429595114266
3.0,15.0,108.0,0.0015531528092829
3.0,15.0,108.0,0.0085684437146954
3.0,15.0,108.0,
3.0,15.0,109.0,0.0016508102048321
3.0,15.0,108.0,0.002186255126681
3.0,15.0,108.0,0.0006553733502328
3.0,15.0,108.0,0.001826248284651
3.0,15.0,108.0,0.0034988388259132
3.0,15.0,108.0,0.002403887840784
3.0,15.0,108.0,0.0006295691585045
3.0,15.0,108.0,0.000993848414837
3.0,15.0,108.0,0.008562145028046
3.0,15.0,109.0,0.0063584576243625
3.0,15.0,108.0,0.0031997284335498
3.0,15.0,108.0,0.0011830706980909
3.0,15.0,108.0,0.0002503210462817
3.0,16.0,110.0,0.0093873995105825
3.0,15.0,109.0,
3.0,15.0,108.0,0.0011542492996123
3.0,15.0,108.0,0.001493038917594
3.0,15.0,108.0,0.0015347247463348
3.0,15.0,108.0,0.0008470150885914
3.0,15.0,109.0,0.0019756246118823
3.0,15.0,108.0,0.0022611506726814
3.0,15.0,108.0,0.0007262653968207
3.0,15.0,108.0,
3.0,15.0,108.0,0.0002489828941778
3.0,15.0,108.0,3.47766693501e-05
3.0,15.0,109.0,0.0005103584320234
3.0,15.0,108.0,0.0008047972686747
3.0,15.0,108.0,0.0010228544224955
3.0,15.0,108.0,0.0016485594621427
3.0,15.0,108.0,
3.0,15.0,108.0,0.0005515142055113
3.0,15.0,108.0,0.0026846259303133
3.0,15.0,109.0,0.0112559149138131
3.0,15.0,109.0,0.0020087935716564
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,109.0,0.0008230978333861
3.0,15.0,109.0,
3.0,15.0,108.0,0.0008217621354558
3.0,15.0,108.0,
3.0,15.0,108.0,0.0003319540640371
3.0,15.0,108.0,0.0013107375253351
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0014046982445369
3.0,15.0,108.0,0.001683368553999
3.0,15.0,108.0,0.0006888572133592
3.0,15.0,108.0,0.0042665382757307
3.0,15.0,108.0,0.0015869130979547
3.0,15.0,108.0,0.0009566247902293
3.0,15.0,108.0,0.0054430304926538
3.0,15.0,108.0,0.0020172991748002
3.0,15.0,108.0,0.00216053053803
3.0,15.0,108.0,
3.0,15.0,108.0,0.0022398182741728
3.0,15.0,108.0,
3.0,15.0,108.0,0.0001247600531202
3.0,16.0,110.0,0.0008128167921031
3.0,15.0,108.0,
3.0,15.0,108.0,0.0008971704122589
3.0,15.0,108.0,
3.0,15.0,108.0,0.0021808419972144
3.0,15.0,109.0,
3.0,15.0,108.0,7.67981576419e-05
3.0,15.0,109.0,0.0030298382458723
3.0,15.0,109.0,0.0011167572842648
3.0,15.0,108.0,0.0095394034562603
3.0,15.0,108.0,0.0021972685531337
3.0,15.0,108.0,0.0015597015725485
3.0,15.0,108.0,0.0007006864697544
3.0,15.0,108.0,
3.0,15.0,108.0,0.0010468308256942
3.0,15.0,108.0,
3.0,16.0,116.0,0.0012376396150807
3.0,15.0,109.0,0.0030006162882904
3.0,15.0,108.0,0.000274944038983
3.0,15.0,108.0,
